xval,yval,time
0.0,0.0,14:24:40
16.17,43.12,14:31:37
26.95,21.56,14:33:26
48.51,-10.78,14:33:26
21.56,-37.73,14:33:29
-32.34,-37.73,14:33:29
-86.24,-37.73,14:33:30
-140.14,-37.73,14:33:30
-194.04,-37.73,14:33:43
-247.94,-37.73,14:33:47
-264.11,-0.0,14:33:50
-274.89,43.12,14:33:50
-318.01,53.9,14:33:58
-361.13,64.68,14:34:03
-382.69,97.02,14:34:03
-398.86,134.75,14:34:06
-398.86,188.65,14:34:08
-398.86,242.55,14:34:10
-415.03,280.28,14:34:11
-431.2,318.01,14:34:12
-458.15,344.96,14:34:12
-458.15,398.86,14:34:17
-506.66,404.25,14:34:21
-517.44,361.13,14:34:24
-565.95,355.74,14:34:41
-609.07,366.52,14:34:47
-641.41,388.08,14:34:47
-668.36,415.03,14:34:47
-700.7,436.59,14:34:47
-700.7,490.49,14:34:49
-668.36,512.05,14:35:10
-652.19,549.78,14:35:11
-609.07,539.0,14:35:12
-592.9,501.27,14:35:12
-571.34,468.93,14:35:12
-576.73,495.88,14:35:17
-598.29,528.22,14:35:17
-646.8,533.61,14:35:18
-689.92,544.39,14:35:23
-652.19,560.56,14:35:25
-598.29,560.56,14:35:26
-544.39,560.56,14:35:26
-522.83,592.9,14:35:29
-495.88,565.95,14:35:38
-468.93,539.0,14:35:38
-425.81,528.22,14:35:39
-425.81,506.66,14:36:01
-441.98,544.39,14:36:01
-468.93,571.34,14:36:01
-506.66,587.51,14:36:02
-522.83,614.46,14:36:15
-468.93,614.46,14:36:15
-415.03,614.46,14:36:16
-404.25,592.9,14:36:26
-409.64,544.39,14:36:55
-463.54,544.39,14:37:01
-517.44,544.39,14:37:01
-571.34,544.39,14:37:01
-539.0,544.39,14:38:07
-485.1,544.39,14:38:07
-431.2,544.39,14:38:07
-388.08,544.39,14:38:34
-441.98,544.39,14:38:34
-495.88,544.39,14:38:34
-549.78,544.39,14:38:34
-603.68,544.39,14:38:39
-619.85,582.12,14:38:45
-641.41,614.46,14:38:49
-652.19,657.58,14:39:09
-619.85,679.14,14:39:36
-565.95,679.14,14:39:36
-512.05,679.14,14:39:37
-533.61,679.14,14:40:07
-587.51,679.14,14:40:07
-641.41,679.14,14:40:07
-695.31,679.14,14:40:14
-733.04,662.97,14:40:36
-733.04,630.63,14:40:44
-738.43,679.14,14:40:45
-733.04,652.19,14:40:54
-716.87,614.46,14:40:55
-662.97,614.46,14:40:55
-630.63,592.9,14:40:57
-587.51,582.12,14:41:18
-571.34,619.85,14:41:20
-571.34,619.85,14:42:18
-544.39,592.9,14:42:18
-517.44,565.95,14:42:18
-490.49,539.0,14:42:18
-463.54,512.05,14:42:18
-431.2,490.49,14:42:33
-409.64,501.27,14:43:12
-409.64,555.17,14:43:18
-409.64,587.51,14:44:33
-388.08,555.17,14:44:33
-371.91,517.44,14:44:34
-371.91,463.54,14:44:56
-420.42,458.15,14:44:57
-474.32,458.15,14:44:57
-528.22,458.15,14:44:57
-539.0,501.27,14:46:00
-565.95,528.22,14:46:00
-609.07,539.0,14:47:06
-657.58,544.39,14:47:34
-646.8,587.51,14:47:38
-592.9,587.51,14:47:38
-539.0,587.51,14:47:39
-501.27,571.34,14:47:43
-479.71,539.0,14:47:43
-452.76,512.05,14:47:44
-425.81,485.1,14:47:46
-398.86,512.05,14:47:49
-398.86,565.95,14:47:49
-420.42,533.61,14:47:53
-441.98,501.27,14:47:53
-495.88,501.27,14:47:58
-549.78,501.27,14:47:58
-587.51,517.44,14:48:20
-609.07,549.78,14:48:20
-646.8,565.95,14:48:21
-679.14,587.51,14:48:30
-700.7,619.85,14:48:31
-706.09,668.36,14:48:32
-754.6,673.75,14:48:33
-765.38,716.87,14:48:39
-765.38,770.77,14:48:44
-754.6,813.89,14:48:46
-700.7,813.89,14:48:57
-646.8,813.89,14:48:57
-592.9,813.89,14:48:57
-539.0,813.89,14:49:02
-528.22,770.77,14:49:08
-506.66,738.43,14:49:09
-490.49,700.7,14:49:39
-468.93,733.04,14:49:43
-495.88,706.09,14:50:10
-522.83,679.14,14:50:10
-549.78,652.19,14:50:10
-576.73,625.24,14:50:11
-603.68,598.29,14:50:11
-636.02,576.73,14:50:11
-689.92,576.73,14:50:16
-711.48,555.17,14:50:41
-722.26,598.29,14:50:41
-722.26,652.19,14:50:42
-668.36,652.19,14:51:50
-614.46,652.19,14:51:50
-560.56,652.19,14:51:50
-506.66,652.19,14:52:10
-452.76,652.19,14:52:13
-441.98,695.31,14:52:17
