xval,yval,time
0.0,0.0,0
-16.17,-43.12,28
-16.17,-97.02,208
-16.17,-150.92,552
-43.12,-177.87,768
-64.68,-210.21,849
-97.02,-231.77,1003
-107.8,-274.89,1210
-107.8,-328.79,1320
-145.53,-344.96,1497
-188.65,-355.74,1629
-220.99,-377.3,1668
-231.77,-420.42,1850
-264.11,-441.98,1948
-291.06,-468.93,2093
-318.01,-495.88,2335
-366.52,-501.27,2483
-366.52,-555.17,2655
-366.52,-609.07,2904
-393.47,-636.02,3066
-393.47,-689.92,3453
-393.47,-743.82,3724
-441.98,-749.21,3973
-441.98,-803.11,4308
-441.98,-857.01,4540
-441.98,-910.91,4733
-415.03,-937.86,5149
-371.91,-948.64,5149
-318.01,-948.64,5149
-269.5,-954.03,5218
-242.55,-980.98,5293
-210.21,-1002.54,5417
-183.26,-1029.49,5515
-172.48,-1072.61,5833
-129.36,-1083.39,6078
-97.02,-1104.95,6193
-64.68,-1126.51,6334
-32.34,-1148.07,6639
-16.17,-1185.8,6696
