xval,yval,time,platxval,platyval,orgxval,orgyval
0.0,-200.0,0,0.0,0.0,-0.0,-200.0
0.0,-200.0,0.283,0.0,0.0,-0.0,-200.0
0.0,-200.0,0.581,0.0,0.0,-0.0,-200.0
0.0,-200.0,1.083,0.0,0.0,-0.0,-200.0
0.0,-200.0,1.381,0.0,0.0,-0.0,-200.0
0.0,-200.0,1.679,0.0,0.0,-0.0,-200.0
0.0,-200.0,2.182,0.0,0.0,-0.0,-200.0
0.0,-200.0,2.282,0.0,0.0,-0.0,-200.0
0.0,-200.0,2.58,0.0,0.0,-0.0,-200.0
0.0,-200.0,2.878,0.0,0.0,-0.0,-200.0
0.0,-200.0,3.381,0.0,0.0,-0.0,-200.0
0.0,-200.0,3.679,0.0,0.0,-0.0,-200.0
0.0,-200.0,4.18,0.0,0.0,-0.0,-200.0
0.0,-200.0,4.479,0.0,0.0,-0.0,-200.0
0.0,-200.0,4.981,0.0,0.0,-0.0,-200.0
0.0,-200.0,5.279,0.0,0.0,-0.0,-200.0
0.0,-200.0,5.781,0.0,0.0,-0.0,-200.0
0.0,-200.0,6.079,0.0,0.0,-0.0,-200.0
0.0,-200.0,8.882,0.0,0.0,-0.0,-200.0
0.0,-200.0,9.581,0.0,0.0,-0.0,-200.0
0.0,-200.0,9.779,0.0,0.0,-0.0,-200.0
0.0,-200.0,9.881,0.0,0.0,-0.0,-200.0
0.0,-200.0,9.981,0.0,0.0,-0.0,-200.0
0.0,-200.0,10.082,0.0,0.0,-0.0,-200.0
0.0,-200.0,11.68,0.0,0.0,-0.0,-200.0
0.0,-200.0,11.781,0.0,0.0,-0.0,-200.0
0.0,-200.0,11.88,0.0,0.0,-0.0,-200.0
0.0,-200.0,11.98,0.0,0.0,-0.0,-200.0
0.0,-200.0,12.078,0.0,0.0,-0.0,-200.0
0.0,-200.0,12.179,0.0,0.0,-0.0,-200.0
0.0,-200.0,13.381,0.0,0.0,-0.0,-200.0
0.0,-200.0,13.78,0.0,0.0,-0.0,-200.0
0.0,-200.0,14.082,0.0,0.0,-0.0,-200.0
0.0,-200.0,14.181,0.0,0.0,-0.0,-200.0
0.0,-200.0,14.279,0.0,0.0,-0.0,-200.0
0.0,-200.0,15.082,0.0,0.0,-0.0,-200.0
0.0,-200.0,15.18,0.0,0.0,-0.0,-200.0
0.0,-200.0,15.279,0.0,0.0,-0.0,-200.0
0.0,-200.0,16.882,0.0,0.0,-0.0,-200.0
0.0,-200.0,16.981,0.0,0.0,-0.0,-200.0
0.0,-200.0,17.481,0.0,0.0,-0.0,-200.0
0.0,-200.0,17.58,0.0,0.0,-0.0,-200.0
0.0,-200.0,17.678,0.0,0.0,-0.0,-200.0
0.0,-200.0,18.48,0.0,0.0,-0.0,-200.0
0.0,-200.0,19.082,0.0,0.0,-0.0,-200.0
0.0,-200.0,19.181,0.0,0.0,-0.0,-200.0
0.0,-200.0,19.281,0.0,0.0,-0.0,-200.0
0.0,-200.0,19.379,0.0,0.0,-0.0,-200.0
0.0,-200.0,19.579,0.0,0.0,-0.0,-200.0
0.0,-200.0,20.581,0.0,0.0,-0.0,-200.0
0.0,-200.0,21.482,0.0,0.0,-0.0,-200.0
0.0,-200.0,21.581,0.0,0.0,-0.0,-200.0
0.0,-200.0,21.68,0.0,0.0,-0.0,-200.0
0.0,-200.0,21.78,0.0,0.0,-0.0,-200.0
0.0,-200.0,22.078,0.0,0.0,-0.0,-200.0
0.0,-200.0,22.479,0.0,0.0,-0.0,-200.0
0.0,-200.0,23.079,0.0,0.0,-0.0,-200.0
0.0,-200.0,23.279,0.0,0.0,-0.0,-200.0
0.0,-200.0,23.479,0.0,0.0,-0.0,-200.0
0.0,-200.0,23.579,0.0,0.0,-0.0,-200.0
0.0,-200.0,24.082,0.0,0.0,-0.0,-200.0
0.0,-200.0,24.18,0.0,0.0,-0.0,-200.0
0.0,-200.0,24.779,0.0,0.0,-0.0,-200.0
0.0,-200.0,24.878,0.0,0.0,-0.0,-200.0
0.0,-200.0,24.979,0.0,0.0,-0.0,-200.0
0.0,-200.0,32.879,0.0,0.0,-0.0,-200.0
0.0,-200.0,32.979,0.0,0.0,-0.0,-200.0
0.0,-200.0,33.278,0.0,0.0,-0.0,-200.0
0.0,-200.0,33.379,0.0,0.0,-0.0,-200.0
0.0,-200.0,33.479,0.0,0.0,-0.0,-200.0
0.0,-200.0,40.282,0.0,0.0,-0.0,-200.0
0.0,-200.0,40.381,0.0,0.0,-0.0,-200.0
0.0,-200.0,40.48,0.0,0.0,-0.0,-200.0
0.0,-200.0,40.679,0.0,0.0,-0.0,-200.0
0.0,-200.0,40.779,0.0,0.0,-0.0,-200.0
0.0,-200.0,40.878,0.0,0.0,-0.0,-200.0
0.0,-200.0,40.979,0.0,0.0,-0.0,-200.0
0.0,-200.0,41.079,0.0,0.0,-0.0,-200.0
0.0,-200.0,41.179,0.0,0.0,-0.0,-200.0
0.0,-200.0,41.279,0.0,0.0,-0.0,-200.0
0.0,-200.0,48.382,0.0,0.0,-0.0,-200.0
0.0,-200.0,48.48,0.0,0.0,-0.0,-200.0
0.0,-100.0,51.382,0.0,0.0,-0.0,-100.0
0.0,-100.0,51.482,0.0,0.0,-0.0,-100.0
0.0,-100.0,51.581,0.0,0.0,-0.0,-100.0
0.0,-200.0,51.68,0.0,0.0,-0.0,-200.0
0.0,-100.0,51.779,0.0,0.0,-0.0,-100.0
0.0,-100.0,51.879,0.0,0.0,-0.0,-100.0
0.0,-100.0,52.078,0.0,0.0,-0.0,-100.0
0.0,-100.0,52.279,0.0,0.0,-0.0,-100.0
0.0,-100.0,52.982,0.0,0.0,-0.0,-100.0
0.0,-100.0,53.081,0.0,0.0,-0.0,-100.0
0.0,-100.0,53.18,0.0,0.0,-0.0,-100.0
0.0,-100.0,53.28,0.0,0.0,-0.0,-100.0
0.0,-100.0,53.679,0.0,0.0,-0.0,-100.0
0.0,-100.0,53.779,0.0,0.0,-0.0,-100.0
0.0,-100.0,54.081,0.0,0.0,-0.0,-100.0
0.0,-100.0,54.181,0.0,0.0,-0.0,-100.0
0.0,-100.0,54.281,0.0,0.0,-0.0,-100.0
0.0,-100.0,54.379,0.0,0.0,-0.0,-100.0
0.0,-100.0,64.382,0.0,0.0,-0.0,-100.0
0.0,-100.0,64.482,0.0,0.0,-0.0,-100.0
0.0,-100.0,64.581,0.0,0.0,-0.0,-100.0
0.0,-100.0,64.681,0.0,0.0,-0.0,-100.0
0.0,-100.0,64.78,0.0,0.0,-0.0,-100.0
0.0,-100.0,65.079,0.0,0.0,-0.0,-100.0
0.0,-100.0,65.179,0.0,0.0,-0.0,-100.0
0.0,-100.0,65.28,0.0,0.0,-0.0,-100.0
0.0,-100.0,65.48,0.0,0.0,-0.0,-100.0
0.0,-100.0,65.579,0.0,0.0,-0.0,-100.0
0.0,-100.0,68.282,0.0,0.0,-0.0,-100.0
0.0,-100.0,68.381,0.0,0.0,-0.0,-100.0
0.0,-100.0,68.481,0.0,0.0,-0.0,-100.0
0.0,-100.0,68.58,0.0,0.0,-0.0,-100.0
0.0,-100.0,68.679,0.0,0.0,-0.0,-100.0
0.0,-100.0,68.779,0.0,0.0,-0.0,-100.0
0.0,-100.0,68.879,0.0,0.0,-0.0,-100.0
0.0,-100.0,68.978,0.0,0.0,-0.0,-100.0
0.0,-100.0,69.079,0.0,0.0,-0.0,-100.0
0.0,-100.0,69.181,0.0,0.0,-0.0,-100.0
0.0,-100.0,69.379,0.0,0.0,-0.0,-100.0
0.0,-100.0,69.479,0.0,0.0,-0.0,-100.0
0.0,-100.0,69.579,0.0,0.0,-0.0,-100.0
0.0,-100.0,69.681,0.0,0.0,-0.0,-100.0
0.0,-100.0,69.78,0.0,0.0,-0.0,-100.0
0.0,-100.0,69.88,0.0,0.0,-0.0,-100.0
0.0,-100.0,69.98,0.0,0.0,-0.0,-100.0
0.0,-100.0,70.079,0.0,0.0,-0.0,-100.0
0.0,-100.0,70.179,0.0,0.0,-0.0,-100.0
0.0,-100.0,70.279,0.0,0.0,-0.0,-100.0
0.0,-100.0,85.48,0.0,0.0,-0.0,-100.0
0.0,-100.0,85.583,0.0,0.0,-0.0,-100.0
0.0,-100.0,86.679,0.0,0.0,-0.0,-100.0
0.0,-100.0,86.783,0.0,0.0,-0.0,-100.0
0.0,-100.0,87.682,0.0,0.0,-0.0,-100.0
0.0,-100.0,87.783,0.0,0.0,-0.0,-100.0
0.0,-100.0,88.58,0.0,0.0,-0.0,-100.0
0.0,-100.0,88.683,0.0,0.0,-0.0,-100.0
0.0,-100.0,89.482,0.0,0.0,-0.0,-100.0
0.0,-100.0,90.181,0.0,0.0,-0.0,-100.0
0.0,-100.0,90.581,0.0,0.0,-0.0,-100.0
0.0,-100.0,90.682,0.0,0.0,-0.0,-100.0
0.0,-100.0,91.382,0.0,0.0,-0.0,-100.0
0.0,-100.0,91.483,0.0,0.0,-0.0,-100.0
0.0,-100.0,92.182,0.0,0.0,-0.0,-100.0
0.0,-100.0,92.283,0.0,0.0,-0.0,-100.0
0.0,-100.0,93.082,0.0,0.0,0.0,-100.0
0.0,-100.0,93.183,0.0,0.0,-0.0,-100.0
0.0,-100.0,93.98,0.0,0.0,-0.0,-100.0
0.0,-100.0,94.082,0.0,0.0,0.0,-100.0
0.0,-100.0,94.282,0.0,0.0,0.0,-100.0
0.0,-100.0,95.681,0.0,0.0,0.0,-100.0
0.0,0.0,95.781,0.0,0.0,0.0,-0.0
0.0,-100.0,95.883,0.0,0.0,-0.0,-100.0
0.0,-100.0,96.682,0.0,0.0,0.0,-100.0
0.0,0.0,97.478,0.0,0.0,-0.0,-0.0
0.0,0.0,97.581,0.0,0.0,0.0,-0.0
0.0,-100.0,97.682,0.0,0.0,0.0,-100.0
0.0,0.0,99.381,0.0,0.0,0.0,-0.0
0.0,-100.0,99.483,0.0,0.0,-0.0,-100.0
0.0,0.0,99.581,0.0,0.0,0.0,-0.0
0.0,0.0,99.682,0.0,0.0,0.0,-0.0
0.0,0.0,100.781,0.0,0.0,0.0,-0.0
0.0,0.0,100.882,0.0,0.0,-0.0,-0.0
0.0,0.0,102.081,0.0,0.0,0.0,-0.0
0.0,0.0,102.183,0.0,0.0,-0.0,-0.0
0.0,0.0,102.283,0.0,0.0,0.0,-0.0
0.0,0.0,103.079,0.0,0.0,0.0,-0.0
0.0,0.0,103.182,0.0,0.0,0.0,-0.0
0.0,0.0,103.284,0.0,0.0,0.0,-0.0
0.0,0.0,103.482,0.0,0.0,0.0,-0.0
0.0,0.0,104.379,0.0,0.0,0.0,-0.0
0.0,0.0,104.482,0.0,0.0,-0.0,-0.0
0.0,0.0,104.583,0.0,0.0,0.0,-0.0
0.0,0.0,105.478,0.0,0.0,0.0,-0.0
0.0,0.0,105.58,0.0,0.0,0.0,-0.0
0.0,0.0,106.278,0.0,0.0,0.0,-0.0
0.0,0.0,108.679,0.0,0.0,0.0,-0.0
0.0,0.0,109.281,0.0,0.0,0.0,-0.0
0.0,0.0,109.383,0.0,0.0,0.0,-0.0
0.0,0.0,109.681,0.0,0.0,0.0,-0.0
0.0,0.0,109.783,0.0,0.0,0.0,-0.0
0.0,0.0,111.379,0.0,0.0,0.0,-0.0
0.0,0.0,111.481,0.0,0.0,0.0,-0.0
0.0,0.0,111.583,0.0,0.0,0.0,-0.0
0.0,0.0,112.48,0.0,0.0,0.0,-0.0
0.0,0.0,112.583,0.0,0.0,0.0,-0.0
0.0,0.0,113.679,0.0,0.0,0.0,-0.0
0.0,0.0,113.78,0.0,0.0,0.0,-0.0
0.0,0.0,113.882,0.0,0.0,0.0,-0.0
0.0,0.0,114.278,0.0,0.0,0.0,-0.0
0.0,0.0,114.381,0.0,0.0,0.0,-0.0
0.0,0.0,114.482,0.0,0.0,0.0,-0.0
0.0,0.0,116.181,0.0,0.0,0.0,-0.0
0.0,0.0,116.881,0.0,0.0,0.0,-0.0
0.0,0.0,116.982,0.0,0.0,0.0,-0.0
0.0,0.0,117.881,0.0,0.0,0.0,-0.0
0.0,0.0,117.983,0.0,0.0,0.0,0.0
0.0,0.0,118.48,0.0,0.0,0.0,-0.0
0.0,0.0,118.582,0.0,0.0,0.0,-0.0
0.0,0.0,118.881,0.0,0.0,0.0,-0.0
0.0,0.0,120.981,0.0,0.0,0.0,0.0
0.0,0.0,121.082,0.0,0.0,0.0,0.0
0.0,0.0,121.982,0.0,0.0,0.0,-0.0
0.0,0.0,122.082,0.0,0.0,0.0,-0.0
0.0,0.0,123.082,0.0,0.0,0.0,0.0
0.0,0.0,124.481,0.0,0.0,0.0,-0.0
0.0,0.0,125.681,0.0,0.0,0.0,0.0
0.0,0.0,128.281,0.0,0.0,0.0,-0.0
0.0,0.0,128.382,0.0,0.0,0.0,0.0
0.0,0.0,129.778,0.0,0.0,0.0,0.0
0.0,0.0,129.883,0.0,0.0,0.0,0.0
0.0,0.0,130.079,0.0,0.0,0.0,0.0
0.0,0.0,130.279,0.0,0.0,0.0,0.0
0.0,0.0,130.58,0.0,0.0,0.0,0.0
0.0,0.0,131.181,0.0,0.0,0.0,0.0
0.0,0.0,131.281,0.0,0.0,0.0,0.0
0.0,0.0,131.679,0.0,0.0,0.0,0.0
0.0,0.0,141.58,0.0,0.0,0.0,0.0
0.0,0.0,147.981,0.0,0.0,0.0,0.0
0.0,0.0,152.38,0.0,0.0,0.0,0.0
0.0,0.0,152.48,0.0,0.0,0.0,0.0
0.0,0.0,152.581,0.0,0.0,0.0,0.0
0.0,0.0,152.681,0.0,0.0,0.0,0.0
0.0,0.0,152.78,0.0,0.0,0.0,0.0
0.0,0.0,152.878,0.0,0.0,0.0,0.0
0.0,0.0,155.081,0.0,0.0,0.0,0.0
