xval,yval,time,platxval,platyval,orgxval,orgyval
-92.88,-242.52,0,0,0,-92.88,-242.52
-100,-300,0.752,0,0,-100,-300
-100,-300,0.852,0,0,-100,-300
-100,-300,0.953,0,0,-100,-300
-100,-300,1.252,0,0,-100,-300
-100,-300,1.351,0,0,-100,-300
-100,-300,1.451,0,0,-100,-300
-100,-300,1.549,0,0,-100,-300
-100,-300,1.649,0,0,-100,-300
-100,-300,2.05,0,0,-100,-300
-100,-300,2.152,0,0,-100,-300
0,-300,5.149,0,0,0,-300
0,-300,5.953,0,0,0,-300
0,-300,6.649,0,0,0,-300
0,-300,12.652,0,0,0,-300
0,-300,12.752,0,0,0,-300
0,-300,12.852,0,0,0,-300
0,-300,12.951,0,0,0,-300
0,-300,13.049,0,0,0,-300
0,-300,13.152,0,0,0,-300
0,-300,13.25,0,0,0,-300
0,-300,13.353,0,0,0,-300
0,-300,13.453,0,0,0,-300
0,-300,13.651,0,0,0,-300
0,-400,13.953,0,0,0,-400
0,-300,14.052,0,0,0,-300
0,-400,14.152,0,0,0,-400
0,-400,14.252,0,0,0,-400
0,-400,14.353,0,0,0,-400
0,-400,14.453,0,0,0,-400
0,-400,14.552,0,0,0,-400
0,-400,14.852,0,0,0,-400
0,-400,14.952,0,0,0,-400
0,-400,15.051,0,0,0,-400
0,-400,15.151,0,0,0,-400
0,-400,15.252,0,0,0,-400
0,-400,15.351,0,0,0,-400
0,-400,15.452,0,0,0,-400
0,-400,15.551,0,0,0,-400
0,-400,15.751,0,0,0,-400
0,-400,15.851,0,0,0,-400
0,-412.2802562,16.453,0,-12.28025615,0,-400
0,-418.4202081,16.552,0,-18.4202081,0,-400
0,-430.2087045,16.652,0,-30.20870447,0,-400
-100,-448.8739705,16.751,0,-48.87397051,-100,-400
-100,-473.1955895,18.152,0,-73.19558948,-100,-400
-100,-479.3355414,18.252,0,-79.33554143,-100,-400
-100,-479.3355414,18.352,0,-79.33554143,-100,-400
-100,-479.3355414,18.451,0,-79.33554143,-100,-400
-100,-479.3355414,18.552,0,-79.33554143,-100,-400
-100,-485.7471472,18.652,0,-85.7471472,-100,-400
-100,-485.7471472,18.753,0,-85.7471472,-100,-400
-100,-504.4291458,18.952,0,-104.4291458,-100,-400
-100,-504.4291458,19.051,0,-104.4291458,-100,-400
-100,-504.4291458,19.149,0,-104.4291458,-100,-400
-200,-560.1640928,22.151,0,-160.1640928,-200,-400
-200,-566.0585758,22.253,0,-166.0585758,-200,-400
-200,-566.0585758,22.352,0,-166.0585758,-200,-400
-200,-566.0585758,22.451,0,-166.0585758,-200,-400
-200,-566.0585758,22.55,0,-166.0585758,-200,-400
-300,-602.1211356,25.852,0,-202.1211356,-300,-400
-300,-607.7701497,26.351,0,-207.7701497,-300,-400
-300,-625.4607615,27.851,0,-225.4607615,-300,-400
-300,-625.4607615,28.953,0,-225.4607615,-300,-400
-200,-625.4607615,29.052,0,-225.4607615,-200,-400
-300,-625.4607615,29.149,0,-225.4607615,-300,-400
-200,-643.8810283,29.249,0,-243.8810283,-200,-400
-200,-643.8810283,31.152,0,-243.8810283,-200,-400
-200,-643.8810283,31.653,0,-243.8810283,-200,-400
