xval,yval,time,platxval,platyval,orgxval,orgyval
-200.0,-100.0,0,0,0.0,-200.0,-100.0
-200.0,-100.0,1.59,0,0.0,-200.0,-100.0
-200.0,-100.0,2.392,0,0.0,-200.0,-100.0
-200.0,-100.0,2.49,0,0.0,-200.0,-100.0
-300.0,-100.0,3.19,0,0.0,-300.0,-100.0
-200.0,-100.0,3.289,0,0.0,-200.0,-100.0
-200.0,-100.0,4.193,0,0.0,-200.0,-100.0
-300.0,-100.0,4.291,0,0.0,-300.0,-100.0
-200.0,-100.0,4.392,0,0.0,-200.0,-100.0
-200.0,-100.0,4.491,0,0.0,-200.0,-100.0
-200.0,-100.0,6.291,0,0.0,-200.0,-100.0
-200.0,-100.0,7.09,0,0.0,-200.0,-100.0
-300.0,-100.0,7.592,0,0.0,-300.0,-100.0
-200.0,-100.0,7.689,0,0.0,-200.0,-100.0
-200.0,-100.0,8.19,0,0.0,-200.0,-100.0
-300.0,-100.0,9.19,0,0.0,-300.0,-100.0
-300.0,-100.0,9.288,0,0.0,-300.0,-100.0
-200.0,-100.0,9.388,0,0.0,-200.0,-100.0
-200.0,-100.0,9.692,0,0.0,-200.0,-100.0
-300.0,-100.0,9.789,0,0.0,-300.0,-100.0
-300.0,-100.0,10.193,0,0.0,-300.0,-100.0
-300.0,-100.0,10.288,0,0.0,-300.0,-100.0
-300.0,-100.0,10.692,0,0.0,-300.0,-100.0
-300.0,-100.0,10.791,0,0.0,-300.0,-100.0
-300.0,-100.0,10.988,0,0.0,-300.0,-100.0
-200.0,-100.0,11.292,0,0.0,-200.0,-100.0
-300.0,-100.0,11.389,0,0.0,-300.0,-100.0
-300.0,-100.0,11.788,0,0.0,-300.0,-100.0
-300.0,-100.0,12.191,0,0.0,-300.0,-100.0
-300.0,-100.0,12.791,0,0.0,-300.0,-100.0
-300.0,-100.0,13.59,0,0.0,-300.0,-100.0
-300.0,-100.0,14.088,0,0.0,-300.0,-100.0
-300.0,-100.0,14.491,0,0.0,-300.0,-100.0
-300.0,-100.0,14.99,0,0.0,-300.0,-100.0
-300.0,-100.0,15.49,0,0.0,-300.0,-100.0
-300.0,-100.0,15.888,0,0.0,-300.0,-100.0
-300.0,-100.0,16.288,0,0.0,-300.0,-100.0
-300.0,-100.0,16.69,0,0.0,-300.0,-100.0
-300.0,-100.0,17.188,0,0.0,-300.0,-100.0
-300.0,-100.0,17.491,0,0.0,-300.0,-100.0
-300.0,-100.0,17.988,0,0.0,-300.0,-100.0
-300.0,-100.0,18.489,0,0.0,-300.0,-100.0
-300.0,-100.0,18.89,0,0.0,-300.0,-100.0
-300.0,-100.0,19.59,0,0.0,-300.0,-100.0
-300.0,-100.0,20.089,0,0.0,-300.0,-100.0
-300.0,-100.0,20.591,0,0.0,-300.0,-100.0
-300.0,-100.0,20.992,0,0.0,-300.0,-100.0
-300.0,-100.0,21.492,0,0.0,-300.0,-100.0
-300.0,-100.0,21.59,0,0.0,-300.0,-100.0
-300.0,-100.0,21.688,0,0.0,-300.0,-100.0
-300.0,-100.0,22.29,0,0.0,-300.0,-100.0
-300.0,-100.0,22.791,0,0.0,-300.0,-100.0
-300.0,-100.0,23.69,0,0.0,-300.0,-100.0
-300.0,-100.0,25.19,0,0.0,-300.0,-100.0
-300.0,-100.0,25.69,0,0.0,-300.0,-100.0
-300.0,-100.0,26.192,0,0.0,-300.0,-100.0
-300.0,-100.0,26.288,0,0.0,-300.0,-100.0
-300.0,-100.0,26.592,0,0.0,-300.0,-100.0
-300.0,-100.0,26.691,0,0.0,-300.0,-100.0
-300.0,-100.0,27.09,0,0.0,-300.0,-100.0
-300.0,-100.0,27.592,0,0.0,-300.0,-100.0
-300.0,-100.0,27.69,0,0.0,-300.0,-100.0
-300.0,-100.0,28.391,0,0.0,-300.0,-100.0
-300.0,-100.0,28.49,0,0.0,-300.0,-100.0
-300.0,-100.0,28.991,0,0.0,-300.0,-100.0
-300.0,-100.0,29.293,0,0.0,-300.0,-100.0
-300.0,-100.0,29.39,0,0.0,-300.0,-100.0
-300.0,-100.0,30.39,0,0.0,-300.0,-100.0
-300.0,-100.0,30.991,0,0.0,-300.0,-100.0
-300.0,-100.0,31.088,0,0.0,-300.0,-100.0
-300.0,-100.0,31.491,0,0.0,-300.0,-100.0
-300.0,-100.0,31.692,0,0.0,-300.0,-100.0
-300.0,-100.0,31.791,0,0.0,-300.0,-100.0
