xval,yval,time
0,0,14:12:42
0,-237.16,14:12:44
-86.24,-366.52,14:12:44
-107.8,-560.56,14:12:44
0,-668.36,14:12:45
194.04,-689.92,14:12:45
366.52,-733.04,14:12:46
582.12,-733.04,14:12:46
646.8,-840.84,14:12:48
431.2,-840.84,14:12:48
388.08,-840.84,14:12:51
603.68,-840.84,14:12:51
711.48,-948.64,14:12:52
711.48,-1164.24,14:12:53
711.48,-1379.84,14:12:54
905.52,-1401.4,14:12:54
1121.12,-1401.4,14:12:55
1272.04,-1466.08,14:12:55
1444.52,-1509.2,14:12:55
1638.56,-1530.76,14:12:56
1854.16,-1530.76,14:12:56
2069.76,-1530.76,14:12:57
2285.36,-1530.76,14:12:58
2500.96,-1530.76,14:12:58
2716.56,-1530.76,14:12:59
2867.48,-1466.08,14:12:59
3083.08,-1466.08,14:12:59
3212.44,-1379.84,14:13:00
3428.04,-1379.84,14:13:00
3643.64,-1379.84,14:13:00
3816.12,-1336.72,14:13:01
4010.16,-1315.16,14:13:01
4225.76,-1315.16,14:13:01
4441.36,-1315.16,14:13:02
4549.16,-1422.96,14:13:06
4419.8,-1509.2,14:13:06
4312,-1617,14:13:06
4204.2,-1724.8,14:13:06
4074.84,-1811.04,14:13:07
3945.48,-1897.28,14:13:07
3729.88,-1897.28,14:13:07
3557.4,-1897.28,14:13:11
3708.32,-1832.6,14:13:11
3816.12,-1724.8,14:13:11
3923.92,-1617,14:13:11
4031.72,-1509.2,14:13:11
4161.08,-1422.96,14:13:12
4312,-1358.28,14:13:12
4462.92,-1293.6,14:13:12
4570.72,-1185.8,14:13:12
4743.2,-1142.68,14:13:13
4958.8,-1142.68,14:13:13
5109.72,-1078,14:13:13
5325.32,-1078,14:13:13
5540.92,-1078,14:13:14
5756.52,-1078,14:13:15
5972.12,-1078,14:13:15
6187.72,-1078,14:13:16
6403.32,-1078,14:13:16
6618.92,-1078,14:13:17
6769.84,-1013.32,14:13:17
6963.88,-991.76,14:13:17
7071.68,-883.96,14:13:18
7287.28,-883.96,14:13:18
7395.08,-776.16,14:13:18
7524.44,-689.92,14:13:19
7696.92,-646.8,14:13:19
7890.96,-625.24,14:13:19
7998.76,-517.44,14:13:20
8149.68,-452.76,14:13:20
8279.04,-366.52,14:13:20
8429.96,-301.84,14:13:21
8559.32,-215.6,14:13:21
8667.12,-107.8,14:13:21
8774.92,0,14:13:22
8882.72,107.8,14:13:22
8968.96,237.16,14:13:22
9076.76,344.96,14:13:22
9227.68,409.64,14:13:22
9335.48,517.44,14:13:23
9443.28,625.24,14:13:23
9551.08,733.04,14:13:23
9723.56,776.16,14:13:23
9831.36,883.96,14:13:24
9939.16,991.76,14:13:24
10046.96,1099.56,14:13:24
10154.76,1207.36,14:13:24
10262.56,1315.16,14:13:24
10370.36,1422.96,14:13:25
10499.72,1509.2,14:13:25
10607.52,1617,14:13:25
10715.32,1724.8,14:13:25
10823.12,1832.6,14:13:26
10930.92,1940.4,14:13:26
11038.72,2048.2,14:13:26
11146.52,2156,14:13:26
11254.32,2263.8,14:13:26
11362.12,2371.6,14:13:27
11469.92,2479.4,14:13:27
11577.72,2587.2,14:13:27
11685.52,2695,14:13:27
