xval,yval,time
0.0,0.0,0
237.16,0.0,1
388.08,-64.68,3
495.88,-172.48,3
625.24,-129.36,3
733.04,-21.56,3
840.84,86.24,3
948.64,194.04,4
991.76,150.92,5
991.76,-64.68,6
948.64,-237.16,7
733.04,-237.16,7
517.44,-237.16,8
517.44,-452.76,8
517.44,-668.36,14
668.36,-733.04,15
883.96,-733.04,15
1078.0,-754.6,18
1078.0,-970.2,19
1228.92,-905.52,22
1293.6,-754.6,23
1401.4,-689.92,26
1509.2,-797.72,28
1724.8,-797.72,30
1789.48,-646.8,31
1789.48,-862.4,34
1854.16,-1013.32,36
2069.76,-1013.32,37
2285.36,-1013.32,42
2393.16,-905.52,43
2500.96,-797.72,43
2630.32,-711.48,44
2738.12,-603.68,44
2845.92,-495.88,44
2975.28,-409.64,44
3104.64,-323.4,45
3212.44,-215.6,45
3212.44,0.0,46
3428.04,0.0,51
3622.08,21.56,52
3643.64,215.6,53
3729.88,344.96,57
3945.48,344.96,58
4161.08,344.96,59
4376.68,344.96,60
4592.28,344.96,60
4807.88,344.96,62
4807.88,129.36,62
4807.88,-86.24,63
4872.56,-237.16,65
4958.8,-366.52,65
5088.16,-452.76,65
5195.96,-560.56,66
5411.56,-560.56,67
5627.16,-560.56,67
5842.76,-560.56,68
6058.36,-560.56,69
6187.72,-474.32,71
6295.52,-409.64,74
6295.52,-625.24,75
6295.52,-840.84,77
6446.44,-905.52,78
6662.04,-905.52,80
6683.6,-711.48,81
6834.52,-646.8,81
6942.32,-539.0,82
6963.88,-646.8,85
6963.88,-862.4,86
6963.88,-1078.0,87
6963.88,-1293.6,88
6963.88,-1509.2,90
7028.56,-1660.12,91
7071.68,-1746.36,91
6963.88,-1854.16,92
6856.08,-1961.96,92
6748.28,-2069.76,92
6662.04,-2199.12,92
6618.92,-2371.6,93
6618.92,-2587.2,93
6662.04,-2716.56,100
6769.84,-2608.76,100
6877.64,-2500.96,100
6985.44,-2393.16,100
7093.24,-2285.36,101
7201.04,-2177.56,101
7308.84,-2069.76,101
7416.64,-1961.96,101
7524.44,-1854.16,101
7632.24,-1746.36,101
7740.04,-1638.56,102
7847.84,-1530.76,102
7955.64,-1422.96,102
8063.44,-1315.16,102
8171.24,-1207.36,102
8279.04,-1099.56,103
8386.84,-991.76,103
8494.64,-883.96,103
8602.44,-776.16,103
8710.24,-668.36,103
8818.04,-560.56,103
8861.16,-689.92,106
8861.16,-905.52,107
8861.16,-1121.12,110
8990.52,-1207.36,112
9098.32,-1315.16,112
9313.92,-1315.16,112
9529.52,-1315.16,113
9680.44,-1379.84,117
9745.12,-1530.76,118
9788.24,-1703.24,118
9896.04,-1811.04,119
10090.08,-1832.6,124
10305.68,-1832.6,125
10370.36,-1983.52,130
10585.96,-1983.52,131
10801.56,-1983.52,135
10866.24,-1918.84,138
10866.24,-2134.44,139
10952.48,-2263.8,139
11081.84,-2350.04,140
11081.84,-2565.64,140
11275.88,-2587.2,141
11362.12,-2716.56,141
11577.72,-2716.56,141
11793.32,-2716.56,142
12008.92,-2716.56,142
12138.28,-2802.8,143
12353.88,-2802.8,143
12569.48,-2802.8,145
12763.52,-2781.24,146
12828.2,-2630.32,146
12914.44,-2500.96,146
12957.56,-2328.48,147
13043.8,-2285.36,151
13237.84,-2306.92,151
13453.44,-2306.92,152
13604.36,-2371.6,152
13819.96,-2371.6,153
14035.56,-2371.6,154
14251.16,-2371.6,154
14466.76,-2371.6,155
