xval,yval,time
0.0,0.0,0
237.16,0.0,1441
280.28,-172.48,1539
280.28,-388.08,1545
323.4,-560.56,1582
409.64,-431.2,1585
237.16,-388.08,1990
64.68,-431.2,1991
21.56,-603.68,1991
-172.48,-625.24,1994
-215.6,-797.72,1997
-215.6,-1013.32,2001
-172.48,-1185.8,2038
43.12,-1185.8,2039
107.8,-1034.88,2039
258.72,-970.2,2041
409.64,-905.52,2042
495.88,-776.16,2043
539.0,-603.68,2059
733.04,-582.12,2067
840.84,-474.32,2073
948.64,-366.52,8643
1164.24,-366.52,8644
1379.84,-366.52,8644
1530.76,-301.84,8644
1638.56,-194.04,8644
1767.92,-107.8,8644
1918.84,-86.24,16915
1811.04,21.56,16915
1703.24,129.36,16915
1595.44,237.16,16916
1487.64,344.96,16916
1379.84,452.76,16916
1272.04,560.56,16916
1164.24,668.36,16917
1056.44,776.16,16917
948.64,883.96,16917
840.84,991.76,16917
733.04,1099.56,16917
625.24,1207.36,16918
517.44,1315.16,16918
409.64,1422.96,16918
301.84,1530.76,16918
194.04,1638.56,16918
86.24,1746.36,16919
-21.56,1854.16,16919
-129.36,1961.96,16919
-237.16,2069.76,16919
-344.96,2177.56,16919
-452.76,2285.36,16920
-560.56,2393.16,16920
-668.36,2500.96,16920
-776.16,2608.76,16920
-883.96,2716.56,16920
-991.76,2824.36,16921
-1099.56,2932.16,16921
-1207.36,3039.96,16921
-1315.16,3147.76,16921
-1422.96,3255.56,16922
-1530.76,3363.36,16922
-1638.56,3471.16,16922
-1746.36,3578.96,16922
-1854.16,3686.76,16922
-1961.96,3794.56,16923
-2069.76,3902.36,16923
-2177.56,4010.16,16923
-2285.36,4117.96,16923
-2393.16,4225.76,16923
-2500.96,4333.56,16924
-2608.76,4441.36,16924
-2716.56,4549.16,16924
-2824.36,4656.96,16924
-2932.16,4764.76,16925
-3039.96,4872.56,16925
-3147.76,4980.36,16925
-3255.56,5088.16,16925
-3363.36,5195.96,16925
-3471.16,5303.76,16926
-3578.96,5411.56,16926
-3686.76,5519.36,16926
-3794.56,5627.16,16926
-3902.36,5734.96,16926
-4010.16,5842.76,16927
-4117.96,5950.56,16927
-4225.76,6058.36,16927
-4333.56,6166.16,16927
-4441.36,6273.96,16928
-4549.16,6381.76,16928
-4656.96,6489.56,16928
-4764.76,6597.36,16928
-4872.56,6705.16,16928
-4980.36,6812.96,16929
-5088.16,6920.76,16929
-5195.96,7028.56,16929
-5303.76,7136.36,16929
-5411.56,7244.16,16929
-5519.36,7351.96,16930
-5627.16,7459.76,16930
-5734.96,7567.56,16930
-5842.76,7675.36,16930
-5950.56,7783.16,16930
-6058.36,7890.96,16931
-6166.16,7998.76,16931
-6273.96,8106.56,16931
-6381.76,8214.36,16931
-6489.56,8322.16,16932
-6597.36,8429.96,16932
-6705.16,8537.76,16932
-6812.96,8645.56,16932
-6920.76,8753.36,16932
-7028.56,8861.16,16933
-7136.36,8968.96,16933
-7244.16,9076.76,16933
-7351.96,9184.56,16933
-7459.76,9292.36,16933
-7567.56,9400.16,16934
-7675.36,9507.96,16934
-7783.16,9615.76,16934
-7890.96,9723.56,16934
-7998.76,9831.36,16934
-8106.56,9939.16,16935
-8214.36,10046.96,16935
-8322.16,10154.76,16935
-8429.96,10262.56,16935
-8537.76,10370.36,16936
-8645.56,10478.16,16936
-8753.36,10585.96,16936
-8861.16,10693.76,16936
-8968.96,10801.56,16936
-9076.76,10909.36,16937
-9184.56,11017.16,16937
-9292.36,11124.96,16937
-9400.16,11232.76,16937
-9507.96,11340.56,16937
-9615.76,11448.36,16938
-9723.56,11556.16,16938
-9831.36,11663.96,16938
-9939.16,11771.76,16938
-10046.96,11879.56,16938
-10154.76,11987.36,16938
-10262.56,12095.16,16939
-10370.36,12202.96,16939
-10585.96,12202.96,16939
-10758.44,12159.84,16939
-10844.68,12030.48,16940
-10995.6,11965.8,16940
-11060.28,11814.88,16940
-11211.2,11750.2,16940
-11297.44,11620.84,16941
-11448.36,11685.52,16948
-11556.16,11793.32,16948
-11663.96,11901.12,16949
-11771.76,12008.92,16949
-11879.56,12116.72,16949
-11987.36,12224.52,16949
-12095.16,12332.32,16949
-12202.96,12440.12,16950
-12310.76,12547.92,16950
-12418.56,12655.72,16950
-12526.36,12763.52,16950
-12634.16,12871.32,16950
-12741.96,12979.12,16951
-12849.76,13086.92,16951
-12957.56,13194.72,16951
-13065.36,13302.52,16951
-13173.16,13410.32,16951
-13280.96,13518.12,16952
-13388.76,13625.92,16952
-13496.56,13733.72,16952
-13604.36,13841.52,16952
-13712.16,13949.32,16953
-13819.96,14057.12,16953
-13927.76,14164.92,16953
-14035.56,14272.72,16953
-14143.36,14380.52,16953
-14251.16,14488.32,16954
-14358.96,14596.12,16954
-14466.76,14703.92,16954
-14574.56,14811.72,16954
-14682.36,14919.52,16954
-14790.16,15027.32,16955
-14897.96,15135.12,16955
-15005.76,15242.92,16955
-15113.56,15350.72,16955
-15221.36,15458.52,16956
-15329.16,15566.32,16956
-15436.96,15674.12,16956
-15544.76,15781.92,16956
-15652.56,15889.72,16956
-15760.36,15997.52,16957
-15868.16,16105.32,16957
-15975.96,16213.12,16957
-16083.76,16320.92,16957
-16191.56,16428.72,16957
-16299.36,16536.52,16958
-16407.16,16644.32,16958
-16514.96,16752.12,16958
-16622.76,16859.92,16958
-16730.56,16967.72,16958
-16838.36,17075.52,16959
-16946.16,17183.32,16959
-17053.96,17291.12,16959
-17161.76,17398.92,16959
-17269.56,17506.72,16960
-17377.36,17614.52,16960
-17485.16,17722.32,16960
-17592.96,17830.12,16960
-17700.76,17937.92,16960
-17808.56,18045.72,16961
-17916.36,18153.52,16961
-18024.16,18261.32,16961
-18131.96,18369.12,16961
-18239.76,18476.92,16961
-18347.56,18584.72,16962
-18455.36,18692.52,16962
-18563.16,18800.32,16962
-18670.96,18908.12,16962
-18778.76,19015.92,16963
-18886.56,19123.72,16963
-18994.36,19231.52,16963
-19102.16,19339.32,16963
-19209.96,19447.12,16963
-19317.76,19554.92,16964
-19425.56,19662.72,16964
-19533.36,19770.52,16964
-19641.16,19878.32,16964
-19748.96,19986.12,16964
-19856.76,20093.92,16965
-19964.56,20201.72,16965
-20072.36,20309.52,16965
-20180.16,20417.32,16965
-20287.96,20525.12,16965
-20395.76,20632.92,16966
-20503.56,20740.72,16966
-20611.36,20848.52,16966
-20719.16,20956.32,16966
-20826.96,21064.12,16967
-20934.76,21171.92,16967
-21042.56,21279.72,16967
-21150.36,21387.52,16967
-21258.16,21495.32,16967
-21365.96,21603.12,16968
-21473.76,21710.92,16968
-21581.56,21818.72,16968
-21689.36,21926.52,16968
-21797.16,22034.32,16968
-21904.96,22142.12,16969
-22012.76,22249.92,16969
-22120.56,22357.72,16969
-22228.36,22465.52,16969
-22336.16,22573.32,16969
-22443.96,22681.12,16970
-22551.76,22788.92,16970
-22659.56,22896.72,16970
-22767.36,23004.52,16970
-22875.16,23112.32,16970
-22982.96,23220.12,16971
-23090.76,23327.92,16971
-23198.56,23435.72,16971
-23306.36,23543.52,16971
-23414.16,23651.32,16972
-23521.96,23759.12,16972
-23629.76,23866.92,16972
-23737.56,23974.72,16972
-23845.36,24082.52,16972
-23953.16,24190.32,16973
-24060.96,24298.12,16973
-24168.76,24405.92,16973
-24276.56,24513.72,16973
-24384.36,24621.52,16973
-24492.16,24729.32,16974
-24599.96,24837.12,16974
-24707.76,24944.92,16974
-24815.56,25052.72,16974
-24923.36,25160.52,16974
-25031.16,25268.32,16975
-25138.96,25376.12,16975
-25246.76,25483.92,16975
-25354.56,25591.72,16975
-25462.36,25699.52,16976
-25570.16,25807.32,16976
-25677.96,25915.12,16976
-25785.76,26022.92,16976
-25893.56,26130.72,16976
-26001.36,26238.52,16977
-26109.16,26346.32,16977
-26216.96,26454.12,16977
-26324.76,26561.92,16977
-26432.56,26669.72,16977
-26540.36,26777.52,16978
-26648.16,26885.32,16978
-26755.96,26993.12,16978
-26863.76,27100.92,16978
-26971.56,27208.72,16978
-27079.36,27316.52,16979
-27187.16,27424.32,16979
-27294.96,27532.12,16979
-27402.76,27639.92,16979
-27510.56,27747.72,16980
-27618.36,27855.52,16980
-27726.16,27963.32,16980
-27833.96,28071.12,16980
-27941.76,28178.92,16980
-28049.56,28286.72,16981
-28157.36,28394.52,16981
-28265.16,28502.32,16981
-28372.96,28610.12,16981
-28480.76,28717.92,16981
-28588.56,28825.72,16982
-28696.36,28933.52,16982
-28804.16,29041.32,16982
-28911.96,29149.12,16982
-29019.76,29256.92,16982
-29127.56,29364.72,16983
-29235.36,29472.52,16983
-29343.16,29580.32,16983
-29450.96,29688.12,16983
