xval,yval,time
0.0,0.0,0
0.0,237.16,8
0.0,21.56,37
0.0,-150.92,125
64.68,-129.36,161
172.48,-237.16,161
280.28,-344.96,162
431.2,-409.64,162
646.8,-409.64,162
862.4,-409.64,163
970.2,-301.84,166
1078.0,-194.04,166
1185.8,-86.24,166
1293.6,21.56,167
1358.28,-129.36,177
1358.28,-344.96,177
1358.28,-560.56,178
1228.92,-646.8,179
1013.32,-646.8,179
797.72,-646.8,179
668.36,-733.04,186
625.24,-905.52,196
517.44,-1013.32,210
431.2,-883.96,212
301.84,-797.72,213
237.16,-646.8,215
150.92,-517.44,217
64.68,-388.08,219
-43.12,-280.28,220
-194.04,-215.6,221
-301.84,-107.8,223
-301.84,107.8,227
-215.6,107.8,241
-129.36,-21.56,242
0.0,-107.8,246
129.36,-194.04,257
237.16,-301.84,257
344.96,-409.64,257
474.32,-495.88,257
625.24,-560.56,290
517.44,-452.76,383
301.84,-452.76,383
194.04,-344.96,390
409.64,-344.96,959
474.32,-409.64,1361
366.52,-517.44,1361
258.72,-625.24,1361
150.92,-733.04,1361
43.12,-840.84,1361
-64.68,-948.64,1362
-172.48,-1056.44,1362
-280.28,-1164.24,1362
-388.08,-1272.04,1362
-495.88,-1379.84,1362
-603.68,-1487.64,1362
-711.48,-1595.44,1362
-819.28,-1703.24,1363
-927.08,-1811.04,1363
-1034.88,-1918.84,1363
-1142.68,-2026.64,1363
-1272.04,-2112.88,1363
-1487.64,-2112.88,1363
-1509.2,-2306.92,1364
-1509.2,-2522.52,1364
-1595.44,-2651.88,1364
-1703.24,-2759.68,1364
-1811.04,-2867.48,1364
-1918.84,-2975.28,1365
-2026.64,-3083.08,1365
-2134.44,-3190.88,1365
-2242.24,-3298.68,1365
-2350.04,-3406.48,1365
-2457.84,-3514.28,1365
-2565.64,-3622.08,1365
-2630.32,-3773.0,1366
-2716.56,-3902.36,1366
-2845.92,-3988.6,1367
-3061.52,-3988.6,1444
-3277.12,-3988.6,1450
-3363.36,-4117.96,1461
-3449.6,-4247.32,1474
-3643.64,-4268.88,1481
-3643.64,-4484.48,1493
-3643.64,-4700.08,1497
-3751.44,-4678.52,1499
-3794.56,-4506.04,1499
-3794.56,-4290.44,1499
-3686.76,-4182.64,1499
-3578.96,-4074.84,1499
-3471.16,-3967.04,1499
-3363.36,-3859.24,1500
-3255.56,-3751.44,1500
-3147.76,-3643.64,1500
-3039.96,-3535.84,1500
-2932.16,-3428.04,1500
-2824.36,-3320.24,1500
-2716.56,-3212.44,1500
-2651.88,-3061.52,1501
-2651.88,-3018.4,1502
-2651.88,-3234.0,1503
-2802.8,-3298.68,1503
-3018.4,-3298.68,1503
-3083.08,-3449.6,1504
-3212.44,-3535.84,1505
-3212.44,-3751.44,1507
-3147.76,-3773.0,1509
-3039.96,-3665.2,1510
-2932.16,-3557.4,1510
-2824.36,-3449.6,1510
-2716.56,-3341.8,1510
-2608.76,-3234.0,1510
-2457.84,-3169.32,1510
-2242.24,-3169.32,1511
-2112.88,-3083.08,1521
-2069.76,-2910.6,1521
-1918.84,-2845.92,1830
-2091.32,-2845.92,2414
-2306.92,-2845.92,2452
-2306.92,-2630.32,2735
-2393.16,-2500.96,2736
-2393.16,-2285.36,2737
-2393.16,-2069.76,2740
-2306.92,-1940.4,2742
-2285.36,-1746.36,2745
-2220.68,-1595.44,2750
-2112.88,-1660.12,2752
-2005.08,-1767.92,2752
-1897.28,-1875.72,2752
-1789.48,-1983.52,2752
-1660.12,-2069.76,2753
-1444.52,-2069.76,2753
-1272.04,-2069.76,2760
-1487.64,-2069.76,2761
-1638.56,-2134.44,2761
