Organism,Speed (um/s)
Actinosphaerium,0.18
Actinosphaerium,0.08
Actinosphaerium,0.03
Actinosphaerium,0.09
Actinosphaerium,0.08
Actinosphaerium,0.07
Actinosphaerium,0.07
Actinosphaerium,0.04
Actinosphaerium,0.06
Actinosphaerium,0.15
Actinosphaerium,0.13
Actinosphaerium,0.08
Actinosphaerium,0.07
Actinosphaerium,0.09
Actinosphaerium,0.08
Actinosphaerium,0.07
Actinosphaerium,0.06
Actinosphaerium,0.06
Actinosphaerium,0.06
Actinosphaerium,0.15
Actinosphaerium,0.13
Actinosphaerium,0.08
Actinosphaerium,0.07
Actinosphaerium,0.09
Actinosphaerium,0.08
Actinosphaerium,0.07
Actinosphaerium,0.06
Actinosphaerium,0.06
Actinosphaerium,0.02
Actinosphaerium,0.15
Actinosphaerium,0.17
Actinosphaerium,0.08
Actinosphaerium,0.1
Actinosphaerium,0.1
Actinosphaerium,0.08
Actinosphaerium,0.02
Actinosphaerium,0.01
Actinosphaerium,0.02
Actinosphaerium,0.07
Actinosphaerium,0.12
