xval,yval,time
0.0,0.0,1638906727.403
-1744.0800000000002,-2007.24,0.0
-1744.0800000000002,-2007.24,0.0
-1971.1200000000001,-2017.56,0.563
-1909.2,-2017.56,0.861
-1888.56,-2017.56,1.362
1032.0,903.0,4.863
4923.447343330383,1745.8087526130676,6.065
5299.475096054077,1818.0487526130676,6.562
5320.115096054077,1838.6887526130677,6.665
5675.874458732605,2167.797402000427,7.265
6300.345828666687,2471.329885997772,7.966
6720.928032302856,2584.849885997772,8.562
6774.483768825531,3083.9402503967285,8.965
6831.310458927154,3122.7379872131346,9.562
6893.230458927154,3100.9224065208437,10.162
6913.870458927155,3162.8424065208437,10.465
6872.590458927155,3296.4843643379213,10.963
6831.310458927154,3327.4443643379213,11.063
6573.310458927154,3354.29987033844,11.565
6346.270458927154,3457.49987033844,11.863
6284.350458927154,3488.45987033844,11.966
4821.208666572571,3600.8658980560303,13.666
3988.596016368866,3528.62589805603,14.561
3395.9996027755737,3074.54589805603,15.961
2581.024518547058,2777.1237807273865,16.461
2673.904518547058,2725.5237807273866,16.564
1784.8620617294312,1692.2887412452696,18.461
1764.222061729431,1515.4006836891174,18.564
1631.613839855194,1302.3148537254333,18.964
1554.0160177993776,945.68514503479,19.361
1564.3360177993773,935.36514503479,19.462
1595.2960177993773,865.6092869567872,19.562
1739.7760177993773,399.16314151763913,20.265
1750.0960177993775,388.84314151763914,20.362
1946.1760177993774,-203.1123028564453,21.064
2245.4560177993776,-594.5720726203919,21.665
2276.4160177993776,-765.1564931488037,21.765
2204.1760177993774,-984.7525217056275,21.864
2245.4560177993776,-817.2117872047424,21.962
2647.9360177993776,-1170.532098197937,22.964
2957.5360177993775,-1510.4653687477112,23.664
3759.627882900238,-1903.4516333961487,24.165
4220.824723358154,-2236.0116851997377,25.063
4623.489388618469,-2414.9297993278506,26.066
4837.727125434875,-2445.8897993278506,26.164
4988.784228782653,-2456.2097993278503,26.262
5376.298847732544,-2531.8438700675965,26.763
6729.026704216003,-2346.0838700675963,28.361
6864.1209467506405,-2366.7238700675966,28.463
6848.818682250977,-2315.1238700675963,28.563
7584.881816482544,-2119.0438700675963,29.666
7635.183947601318,-1850.7238700675964,30.264
8377.242586345672,-1547.9507960510255,30.764
8480.442586345673,-1671.7907960510254,30.861
8998.854705524445,-1424.1107960510253,31.363
9704.97688566208,-943.8156204223633,31.962
10253.056822776794,-397.98170484542845,33.163
10480.096822776795,-397.98170484542845,33.265
10408.769100017547,-284.46170484542847,33.363
10357.169100017547,-252.94706764221192,33.963
10346.849100017547,-314.8670676422119,35.164
11564.609100017547,275.57461341857913,37.365
11069.249100017547,502.6146134185791,37.661
10904.129100017548,481.9746134185791,37.766
12886.523066730499,1293.2382795715332,38.265
13061.9630667305,1722.870436115265,38.865
13196.123066730499,1853.2705306434632,39.163
13189.453485088348,2035.3046622276306,39.661
13189.453485088348,2045.6246622276306,39.763
12776.653485088349,2690.8603984069823,40.964
12456.733485088349,2912.9552088356018,41.564
10251.560516490936,3485.757274990082,44.366
10318.440346012116,3475.4372749900817,44.466
10077.630852489472,3496.0772749900816,44.561
9664.830852489471,3516.717274990082,44.663
9280.535571899414,3475.4372749900817,45.564
9249.575571899413,3485.757274990082,45.662
9197.975571899415,3475.4372749900817,45.762
9062.073062477111,3485.757274990082,45.962
9010.473062477111,3475.4372749900817,46.165
9031.113062477112,3454.797274990082,46.264
8793.753062477112,3475.4372749900817,46.563
7964.906873397827,3186.4772749900817,47.766
7649.376056060791,3114.237274990082,48.065
7633.24125082016,3103.9172749900818,48.166
7724.720991210937,3072.9572749900817,48.262
7339.132858524323,2845.9172749900818,48.862
6790.566787624359,2484.196814880371,49.365
6666.726787624359,2334.9153293800355,49.461
6345.0252243614195,2200.7553293800356,49.864
6283.1052243614195,2252.3553293800355,49.962
5827.134434642791,1898.4417668724059,50.562
5723.9344346427915,1654.8951615524293,51.066
5713.614434642792,1551.6951615524292,51.163
5694.026848087311,897.7373026084899,51.762
5869.466848087311,493.9121662902832,52.463
5962.346848087311,3.1933901977538994,52.965
5982.986848087311,38.59940469741821,53.061
6117.146848087311,-431.9957648277283,53.561
6230.66684808731,-539.461000328064,54.062
6478.346848087311,-704.581000328064,54.464
6519.6268480873105,-756.181000328064,54.565
6849.866848087311,-999.9851026916504,55.063
6994.346848087311,-1132.327343044281,55.465
7640.493402366638,-1173.607343044281,55.965
7812.961987457275,-1204.567343044281,56.463
8286.38465827942,-1225.207343044281,56.863
8585.195962619782,-1122.007343044281,57.262
8749.78440946579,-1080.727343044281,57.664
9171.830030727386,-977.527343044281,58.064
9212.412728481293,-729.8473430442809,58.464
9473.919073772431,-657.6073430442809,58.663
11078.41720287323,485.97015029907226,60.265
11212.57720287323,544.3346976661683,60.366
11243.53720287323,492.73469766616824,60.565
11676.951389636994,575.2946976661683,60.663
11600.26537513733,626.8946976661682,60.764
11620.905375137329,741.4043629837035,60.864
11724.10537513733,847.9759987449646,60.964
11765.38537513733,734.4559987449646,61.164
11796.345375137329,827.3359987449646,61.262
11827.30537513733,817.0159987449647,61.365
11868.585375137329,878.9359987449645,61.466
12016.184290428162,971.8159987449646,61.565
12005.864290428162,1101.9055418014527,61.664
12190.469655418396,1535.0169721221923,62.562
12045.989655418396,2706.813595676422,64.065
12045.989655418396,2779.053595676422,64.161
11973.749655418396,2858.1783623695374,64.262
11922.149655418396,2949.4060518074034,64.362
11529.989655418396,3336.664802532196,65.162
11478.389655418396,3367.624802532196,65.265
10652.789655418395,3860.790455493927,66.364
9642.121921977996,4075.921792049408,67.562
9438.742313899995,4127.521792049408,67.665
9436.36377128601,4168.801792049408,67.765
9539.563771286012,4137.841792049408,67.866
9467.32377128601,4210.081792049408,68.061
9229.963771286011,4230.721792049408,68.262
9179.06480085373,4220.401792049408,68.365
8881.614482517243,4248.891240825653,68.965
7076.144978256226,3980.571240825653,71.765
6979.352865333557,3949.611240825653,71.862
6772.020501537323,3898.011240825653,72.263
5737.869507064819,3361.4935290145872,73.766
5761.237035560608,3289.2535290145875,73.864
4891.36715423584,2756.612544326782,74.665
4617.338088340759,2357.2949511909483,75.664
4555.418088340759,2305.6949511909484,75.761
4279.959562149048,1726.7184112739562,76.564
4445.079562149048,1518.0049549865723,77.062
4465.719562149048,1303.2676838111877,77.265
4476.039562149048,1318.033698310852,77.366
4476.039562149048,1194.1936983108521,77.466
4496.679562149048,1126.3405325508118,77.561
4620.5195621490475,806.660981426239,77.961
4723.719562149048,553.632163619995,78.463
4837.239562149048,138.77079814910888,78.965
5002.359562149048,-472.1986880874634,79.662
5012.679562149048,-725.2844675445557,80.165
5342.919562149048,-1022.951960067749,80.965
5446.119562149048,-1084.8719600677491,81.162
6683.564112758637,-1255.3278168296815,82.464
6955.629427337646,-1131.4878168296814,82.861
7171.379788265228,-1069.5678168296813,83.165
7334.312286663056,-852.8478168296814,83.565
7845.386854000091,-687.7278168296814,83.962
7699.8343540000915,-336.8478168296814,84.362
8548.834060230256,45.15075614929202,84.765
9017.046929149628,223.96239191055298,85.264
9057.788800411225,468.90587909698485,85.365
9352.291808013915,499.8658790969849,85.663
9593.065965309142,520.5058790969849,85.762
9224.444428844452,603.0658790969849,85.863
9430.844428844452,799.4430192565918,85.962
9430.844428844452,1042.5489704704285,86.664
9368.924428844452,1228.3089704704284,86.862
9327.644428844453,1145.7489704704285,86.963
9255.404428844451,1640.1470359611512,87.463
9172.844428844452,2054.5196095085143,87.865
8842.604428844452,2516.6475145912173,88.467
8821.964428844452,2537.287514591217,88.665
8770.364428844452,2619.847514591217,88.761
8594.924428844452,3144.118280162811,89.364
8429.804428844453,3617.381557712555,90.064
8367.884428844452,3617.381557712555,90.262
8388.524428844452,3736.3222975730896,90.365
8347.244428844451,3777.60229757309,90.466
8336.924428844452,3979.7124079704286,90.562
8357.564428844453,4031.3124079704285,90.866
8167.892785606384,4600.254895858765,91.564
7374.947578353882,5705.625975074768,92.664
7190.300581111908,5808.825975074768,92.863
7310.13828874588,6085.751276187897,93.266
7155.33828874588,6364.293341579437,93.762
6788.706986351013,6909.8432778739925,94.665
6019.65056755066,7241.589386196137,95.961
5460.483825092316,7827.899111785889,97.265
5408.883825092315,7858.859111785889,97.361
5217.8898101615905,8107.428484363556,97.566
5228.20981016159,8032.708569602966,97.665
4520.893671836853,8152.435261478424,98.764
4212.935409641266,8214.355261478424,99.265
4151.015409641266,8234.995261478423,99.361
3866.0689049339294,8224.675261478424,99.563
3705.3949194335937,8234.995261478423,99.763
2781.877353286743,8214.355261478424,100.865
2609.636545295715,8100.835261478424,101.465
2019.147026424408,8028.595261478424,102.064
1945.4790554237366,7853.155261478424,102.562
1718.5667600631714,7760.275261478424,102.965
1594.7267600631712,7698.355261478424,103.161
1349.634782524109,7533.235261478424,103.562
696.1280804252624,7043.2760553359985,104.064
-106.03862449645999,6811.235893249512,104.764
-534.0647198486329,6656.288112792969,105.061
-818.5127890205383,6594.3681127929685,105.265
-1100.5468597602844,6400.305238475799,105.765
-966.3868597602844,6369.345238475799,105.862
-1669.9179596328736,6051.9415090751645,106.464
-1680.2379596328735,6010.661509075165,106.561
-1721.5179596328735,5779.133483104706,106.665
-2342.048545436859,5717.213483104706,107.261
-2335.534429397583,5135.9301222801205,108.064
-2645.134429397583,4852.076663589478,108.462
-2738.014429397583,4588.2817552948,108.862
-2808.076221828461,4454.1217552948,108.963
-2704.8762218284605,4203.725269756317,109.163
-2766.7962218284606,3972.35438829422,109.763
-2787.4362218284605,3711.3315784454344,110.365
-2797.7562218284606,3659.7315784454345,110.465
-2828.7162218284607,3486.7738416290285,110.665
-2930.3055930900573,3226.3272249031065,111.063
-2961.2655930900573,2790.5105513191224,111.665
-2713.5855930900575,2530.918251018524,112.264
-2434.945593090057,2125.6668323135377,112.864
-2393.6655930900574,2000.3988613128663,112.961
-2115.0255930900576,1769.5521478652954,113.465
-1836.3855930900572,1648.6422504615784,113.962
-1712.5455930900573,1582.8120162773132,114.563
-817.8950224113464,1471.8311112976075,114.663
-694.0550224113464,1560.3664689445495,114.865
-462.9974006462097,1581.0064689445496,114.962
399.6468527793885,1488.1264689445495,116.761
894.6203519248962,1519.0864689445496,117.361
1166.9533667945861,1601.6464689445495,117.865
1412.8947937202454,1787.4064689445495,118.464
1607.95961517334,1962.8464689445495,118.864
2055.790611305237,2231.1664689445497,119.265
2233.0395660209656,2606.537572441101,119.764
2685.2650610923765,2990.4241676330566,120.263
2685.2650610923765,3108.740696659088,120.465
2736.865061092377,3440.5612349128724,121.064
2643.985061092377,3900.969025173187,121.665
2633.6650610923766,3880.3290251731873,121.761
2561.425061092377,4201.03041015625,122.362
2458.2250610923766,4575.602830066681,122.962
2416.945061092377,4689.32727268219,123.062
2375.6650610923766,4850.57951965332,123.163
2355.0250610923767,4726.739519653321,123.262
2107.345061092377,5149.221427822113,123.761
2024.7850610923767,5235.691192321778,123.961
1962.8650610923767,5402.742615127563,124.162
1684.2250610923766,5519.09565246582,124.666
367.5575996398926,5939.787662639618,125.962
54.23540948867799,5815.411412639618,126.461
-237.78497512817387,5784.451412639618,126.864
-634.8845678329468,5629.651412639618,127.464
-952.7252137947082,5536.771412639618,127.865
-1752.9720479011535,5289.091412639618,128.462
-2422.5053678131103,4870.467763633728,129.165
-2830.8792896080017,4585.319384498596,129.365
-3029.8128831863405,4282.553465633392,129.865
-3618.0733484458924,3652.096225605011,130.566
-3632.3012342071534,3594.6790719413757,130.661
-3704.541234207153,3068.691369457245,131.263
-3642.621234207153,2388.886317176819,132.162
-3374.3012342071534,2013.1823171806336,132.664
-3312.3812342071533,2054.4623171806334,132.762
-3105.981234207153,1909.9823171806336,133.164
-2868.6212342071535,1816.7487249183655,133.663
-2847.981234207153,1837.3887249183654,133.861
-2806.7012342071534,1816.7487249183655,134.262
-2775.7412342071534,1796.1087249183654,134.862
-2806.7012342071534,1806.4287249183656,135.061
-2817.021234207153,1583.4610606002807,135.561
