xval,yval,times
0.0,0.0,13:04:08
107.8,-129.36,13:09:58
323.4,-129.36,13:11:18
409.64,-258.72,13:15:08
258.72,-323.4,13:18:42
86.24,-366.52,13:18:43
-64.68,-431.2,13:19:03
-172.48,-539.0,13:20:13
-323.4,-603.68,13:21:37
-474.32,-668.36,13:23:12
-560.56,-797.72,13:26:52
-689.92,-883.96,13:29:01
-819.28,-970.2,13:29:01
-948.64,-1056.44,13:32:04
-991.76,-1228.92,13:34:43
-1078.0,-1358.28,13:39:33
-1078.0,-1573.88,13:41:48
-991.76,-1703.24,13:43:05
-840.84,-1767.92,13:43:36
-840.84,-1983.52,13:43:36
-797.72,-2156.0,13:43:36
-797.72,-2371.6,13:43:40
-797.72,-2587.2,13:44:00
-970.2,-2630.32,13:44:01
-1078.0,-2738.12,13:44:20
-1078.0,-2953.72,13:45:01
-1164.24,-3083.08,13:45:23
-1228.92,-3234.0,13:46:08
-1228.92,-3449.6,13:47:05
-1336.72,-3557.4,13:47:47
-1422.96,-3686.76,13:48:40
-1444.52,-3880.8,13:50:06
-1509.2,-4031.72,13:51:16
-1444.52,-4182.64,13:51:16
-1272.04,-4225.76,13:51:17
-1056.44,-4225.76,13:51:17
-991.76,-4376.68,13:52:37
-991.76,-4592.28,13:53:19
-862.4,-4678.52,13:55:30
-862.4,-4894.12,13:57:01
-1034.88,-4937.24,13:58:27
-1034.88,-5152.84,14:00:09
-1034.88,-4937.24,14:02:21
-927.08,-4829.44,14:02:21
-819.28,-4721.64,14:02:21
-711.48,-4613.84,14:02:21
-603.68,-4506.04,14:02:22
-539.0,-4355.12,14:02:23
-539.0,-4139.52,14:02:44
-517.44,-3945.48,14:03:17
-409.64,-3837.68,14:03:36
-366.52,-3665.2,14:04:38
-344.96,-3471.16,14:05:38
-237.16,-3363.36,14:06:39
-86.24,-3298.68,14:07:15
-258.72,-3255.56,14:08:11
-474.32,-3255.56,14:09:35
-539.0,-3104.64,14:10:44
-539.0,-2889.04,14:15:11
-431.2,-2781.24,14:15:31
-215.6,-2781.24,14:15:57
-215.6,-2565.64,14:18:10
-107.8,-2457.84,14:20:18
21.56,-2371.6,14:21:31
129.36,-2263.8,14:22:07
323.4,-2242.24,14:25:52
452.76,-2156.0,14:26:29
668.36,-2156.0,14:36:20
862.4,-2177.56,14:45:08
1078.0,-2177.56,14:45:09
1293.6,-2177.56,14:45:09
1509.2,-2177.56,14:45:10
1617.0,-2069.76,14:45:11
1703.24,-1940.4,14:45:13
1767.92,-1789.48,14:45:17
1854.16,-1660.12,14:45:22
1854.16,-1444.52,14:45:33
1897.28,-1272.04,14:45:54
2005.08,-1164.24,14:46:03
2069.76,-1013.32,14:46:32
2156.0,-883.96,14:46:55
2199.12,-711.48,14:47:06
2306.92,-603.68,14:47:39
2414.72,-495.88,14:48:13
2479.4,-344.96,14:48:43
2522.52,-172.48,14:49:16
2608.76,-43.12,14:49:58
2695.0,86.24,14:51:17
2845.92,150.92,14:52:04
2932.16,280.28,14:52:32
3039.96,388.08,14:53:23
3126.2,517.44,14:54:22
3212.44,646.8,14:56:40
3320.24,754.6,14:58:23
3428.04,862.4,15:01:01
3578.96,927.08,15:02:22
3665.2,1056.44,15:03:54
3837.68,1099.56,15:07:11
3945.48,1207.36,15:16:34
4074.84,1293.6,15:16:37
4182.64,1401.4,15:16:47
4290.44,1509.2,15:17:00
4441.36,1573.88,15:17:26
4549.16,1681.68,15:18:06
4656.96,1789.48,15:19:03
4829.44,1832.6,15:20:18
5023.48,1854.16,15:20:47
5131.28,1961.96,15:21:49
5217.52,2091.32,15:22:51
5411.56,2112.88,15:24:08
5454.68,2285.36,15:26:18
5627.16,2328.48,15:28:33
5691.84,2479.4,15:30:34
5864.32,2522.52,15:32:59
5907.44,2695.0,15:36:19
6015.24,2802.8,15:42:09
6209.28,2824.36,15:49:22
6295.52,2953.72,15:57:53
6446.44,3018.4,16:03:50
6554.24,3126.2,16:06:41
6705.16,3190.88,16:20:35
6834.52,3277.12,16:25:54
6899.2,3428.04,16:48:05
7050.12,3406.48,17:30:54
7071.68,3212.44,17:35:30
7114.8,3039.96,18:02:41
7330.4,3039.96,18:32:52
7502.88,2996.84,20:16:25
7675.36,2953.72,21:23:37
7890.96,2953.72,22:12:08
8106.56,2953.72,23:08:59
8322.16,2953.72,00:20:10
8537.76,2953.72,00:35:37
8731.8,2975.28,02:40:35
8602.44,3061.52,02:46:17
8386.84,3061.52,02:46:17
8235.92,3126.2,02:59:16
8041.88,3147.76,03:12:46
7934.08,3255.56,03:35:03
7740.04,3277.12,03:42:44
7632.24,3384.92,03:59:05
7502.88,3471.16,05:07:39
7351.96,3535.84,05:56:29
7481.32,3622.08,08:44:17
7632.24,3686.76,08:44:26
7783.16,3751.44,08:49:21
7934.08,3816.12,08:58:22
