xval,yval,time,platxval,platyval,orgxval,orgyval
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972.9,502.27500000000003,0.0,0.0,0.0,1972.9,502.27500000000003
1434.8743987083435,1198.8405084609985,3.885,1034.8743987083435,798.8405084609985,400.0,400.0
2183.9377331733704,1956.9314932823181,4.984,1783.9377331733704,1356.9314932823181,400.0,600.0
3646.2174463272095,2655.071156024933,7.286,3046.2174463272095,2655.071156024933,600.0,-0.0
3746.2174463272095,2655.071156024933,7.684,3046.2174463272095,2655.071156024933,700.0,-0.0
4644.002027511597,2855.071156024933,10.186,4344.002027511597,2655.071156024933,300.0,200.0
5341.042704582214,2855.071156024933,11.584,5141.042704582214,2655.071156024933,200.0,200.0
6105.646963119507,2655.071156024933,13.185,5905.646963119507,2655.071156024933,200.0,-0.0
6505.646963119507,2255.071156024933,13.986,5905.646963119507,2655.071156024933,600.0,-400.0
8275.257828235626,-169.14015531539917,17.887,7575.257828235626,230.85984468460083,700.0,-400.0
8928.73737335205,-961.9957089424133,20.686,8628.73737335205,-861.9957089424133,300.0,-100.0
8928.73737335205,-961.9957089424133,21.087,8628.73737335205,-861.9957089424133,300.0,-100.0
8928.73737335205,-961.9957089424133,21.185,8628.73737335205,-861.9957089424133,300.0,-100.0
8928.73737335205,-961.9957089424133,21.286,8628.73737335205,-861.9957089424133,300.0,-100.0
8928.73737335205,-1061.9957089424133,21.785,8628.73737335205,-861.9957089424133,300.0,-200.0
9028.73737335205,-1061.9957089424133,22.387,8628.73737335205,-861.9957089424133,400.0,-200.0
9228.73737335205,-1720.3525352478027,23.684,8628.73737335205,-1420.3525352478027,600.0,-300.0
9275.827717781067,-2167.620108127594,27.186,8975.827717781067,-1967.620108127594,300.0,-200.0
7379.823868274689,-3046.696994304657,35.788,7879.823868274689,-3046.696994304657,-500.0,-0.0
7279.823868274689,-2946.696994304657,36.884,7879.823868274689,-3046.696994304657,-600.0,100.0
6709.886968135834,-2746.696994304657,37.584,7309.886968135834,-3046.696994304657,-600.0,300.0
7109.886968135834,-1851.9901013374329,38.288,7309.886968135834,-2151.990101337433,-200.0,300.0
5260.935416221619,-424.95473623275757,41.686,5960.935416221619,-524.9547362327576,-700.0,100.0
3534.2748594284058,1561.9165682792664,44.985,4334.274859428406,1161.9165682792664,-800.0,400.0
2970.5627632141113,5601.428723335266,53.586,2670.5627632141113,5301.428723335266,300.0,300.0
5674.5140743255615,6672.493495941162,60.284,5474.5140743255615,6672.493495941162,200.0,0.0
7573.349418640137,6472.493495941162,63.589,6873.349418640137,6672.493495941162,700.0,-200.0
8392.44413614273,6272.493495941162,65.383,7692.444136142731,6672.493495941162,700.0,-400.0
9789.577579498291,7847.994985580444,66.885,9389.577579498291,7547.994985580444,400.0,300.0
10368.279421329498,8414.187405109406,70.285,10168.279421329498,8514.187405109406,200.0,-100.0
6704.519021511078,3865.008671283722,80.087,7404.519021511078,4365.008671283722,-700.0,-500.0
6070.1680064201355,3769.763286113739,80.985,5970.1680064201355,3769.763286113739,100.0,-0.0
5970.1680064201355,3869.763286113739,81.286,5970.1680064201355,3769.763286113739,0.0,100.0
4919.261159896851,3769.763286113739,82.884,5219.261159896851,3769.763286113739,-300.0,0.0
438.4443140029907,7403.488531112671,92.787,838.4443140029907,6803.488531112671,-400.0,600.0
438.4443140029907,8610.319473743439,94.488,838.4443140029907,8410.319473743439,-400.0,200.0
1338.4443140029907,11285.383927822113,98.788,838.4443140029907,10785.383927822113,500.0,500.0
1906.3051295280457,12127.05857515335,100.385,1306.3051295280457,11427.05857515335,600.0,700.0
