xval,yval,time,platxval,platyval,orgxval,orgyval
0.0,0.0,1642090567.3,0.0,0.0,0.0,0.0
-400.0,626.178811788559,0.0,0.0,326.17881178855896,-400.0,300.0
-400.0,626.178811788559,0.0,0.0,326.17881178855896,-400.0,300.0
-400.0,626.178811788559,0.184,0.0,326.17881178855896,-400.0,300.0
-400.0,720.4778587818146,1.882,0.0,420.4778587818146,-400.0,300.0
-400.0,720.4778587818146,2.181,0.0,420.4778587818146,-400.0,300.0
-400.0,820.4778587818146,2.382,0.0,420.4778587818146,-400.0,400.0
-400.0,820.4778587818146,2.982,0.0,420.4778587818146,-400.0,400.0
-400.0,842.087812423706,3.381,0.0,442.08781242370605,-400.0,400.0
-400.0,842.087812423706,3.683,0.0,442.08781242370605,-400.0,400.0
-400.0,742.087812423706,3.982,0.0,442.08781242370605,-400.0,300.0
-400.0,742.087812423706,4.079,0.0,442.08781242370605,-400.0,300.0
-400.0,742.087812423706,4.379,0.0,442.08781242370605,-400.0,300.0
-400.0,742.087812423706,4.583,0.0,442.08781242370605,-400.0,300.0
-400.0,742.087812423706,4.879,0.0,442.08781242370605,-400.0,300.0
-400.0,642.087812423706,5.483,0.0,442.08781242370605,-400.0,200.0
-400.0,642.087812423706,5.882,0.0,442.08781242370605,-400.0,200.0
-400.0,642.087812423706,6.582,0.0,442.08781242370605,-400.0,200.0
-400.0,642.087812423706,6.982,0.0,442.08781242370605,-400.0,200.0
-400.0,642.087812423706,8.181,0.0,442.08781242370605,-400.0,200.0
-400.0,642.087812423706,8.278,0.0,442.08781242370605,-400.0,200.0
-400.0,442.08781242370605,10.478,0.0,442.08781242370605,-400.0,0.0
-400.0,442.08781242370605,10.581,0.0,442.08781242370605,-400.0,0.0
-400.0,442.08781242370605,11.082,0.0,442.08781242370605,-400.0,0.0
-400.0,442.08781242370605,11.68,0.0,442.08781242370605,-400.0,0.0
-400.0,442.08781242370605,11.781,0.0,442.08781242370605,-400.0,0.0
-500.0,442.08781242370605,12.379,0.0,442.08781242370605,-500.0,-0.0
-500.0,442.08781242370605,13.179,0.0,442.08781242370605,-500.0,-0.0
-500.0,342.08781242370605,13.478,0.0,442.08781242370605,-500.0,-100.0
-600.0,342.08781242370605,13.781,0.0,442.08781242370605,-600.0,-100.0
-600.0,342.08781242370605,14.178,0.0,442.08781242370605,-600.0,-100.0
-600.0,342.08781242370605,14.48,0.0,442.08781242370605,-600.0,-100.0
-700.0,342.08781242370605,14.583,0.0,442.08781242370605,-700.0,-100.0
-700.0,342.08781242370605,14.88,0.0,442.08781242370605,-700.0,-100.0
-700.0,342.08781242370605,15.181,0.0,442.08781242370605,-700.0,-100.0
-866.9890797138214,342.08781242370605,16.183,-166.9890797138214,442.08781242370605,-700.0,-100.0
-866.9890797138214,342.08781242370605,16.579,-166.9890797138214,442.08781242370605,-700.0,-100.0
-866.9890797138214,342.08781242370605,17.382,-166.9890797138214,442.08781242370605,-700.0,-100.0
-1007.5889301300049,342.08781242370605,17.982,-307.5889301300049,442.08781242370605,-700.0,-100.0
-1007.5889301300049,342.08781242370605,18.078,-307.5889301300049,442.08781242370605,-700.0,-100.0
-1140.5571103096008,342.08781242370605,18.88,-440.55711030960083,442.08781242370605,-700.0,-100.0
-1208.6306130886078,342.08781242370605,19.28,-508.6306130886078,442.08781242370605,-700.0,-100.0
-1279.4334530830383,342.08781242370605,19.48,-579.4334530830383,442.08781242370605,-700.0,-100.0
-1247.2115242481232,342.08781242370605,19.782,-647.2115242481232,442.08781242370605,-600.0,-100.0
-1341.5115106105804,342.08781242370605,20.78,-741.5115106105804,442.08781242370605,-600.0,-100.0
-1441.5115106105804,342.08781242370605,21.28,-741.5115106105804,442.08781242370605,-700.0,-100.0
-1441.5115106105804,442.08781242370605,21.881,-741.5115106105804,442.08781242370605,-700.0,-0.0
-1441.5115106105804,442.08781242370605,22.48,-741.5115106105804,442.08781242370605,-700.0,-0.0
-1441.5115106105804,442.08781242370605,22.68,-741.5115106105804,442.08781242370605,-700.0,-0.0
-1591.4106464385986,442.08781242370605,23.382,-891.4106464385986,442.08781242370605,-700.0,0.0
-1591.4106464385986,442.08781242370605,23.681,-891.4106464385986,442.08781242370605,-700.0,0.0
-1591.4106464385986,542.087812423706,24.282,-891.4106464385986,442.08781242370605,-700.0,100.0
-1591.4106464385986,542.087812423706,24.48,-891.4106464385986,442.08781242370605,-700.0,100.0
-1533.8455545902252,542.087812423706,24.784,-1033.8455545902252,442.08781242370605,-500.0,100.0
-1633.8455545902252,542.087812423706,24.879,-1033.8455545902252,442.08781242370605,-600.0,100.0
-1633.8455545902252,542.087812423706,25.481,-1033.8455545902252,442.08781242370605,-600.0,100.0
-1633.8455545902252,642.087812423706,25.578,-1033.8455545902252,442.08781242370605,-600.0,200.0
-1733.8455545902252,642.087812423706,25.678,-1033.8455545902252,442.08781242370605,-700.0,200.0
-1733.8455545902252,642.087812423706,26.078,-1033.8455545902252,442.08781242370605,-700.0,200.0
