xval,yval,time
0.0,0.0,16:03:15
64.68,-53.9,16:03:31
118.58,-107.8,16:03:32
172.48,-161.7,16:03:32
226.38,-215.6,16:03:32
215.6,-226.38,16:03:33
161.7,-172.48,16:03:33
107.8,-118.58,16:03:34
53.9,-64.68,16:03:34
-0.0,-10.78,16:03:34
-53.9,43.12,16:03:34
-107.8,97.02,16:03:34
-161.7,150.92,16:03:34
-215.6,204.82,16:03:34
-269.5,258.72,16:03:35
-269.5,366.52,16:03:38
-183.26,388.08,16:03:39
-75.46,388.08,16:03:39
-21.56,441.98,16:03:52
-0.0,441.98,16:03:53
-86.24,420.42,16:03:54
-194.04,420.42,16:03:54
-301.84,420.42,16:03:55
-280.28,420.42,16:03:59
-172.48,420.42,16:03:59
-64.68,420.42,16:03:59
43.12,420.42,16:04:10
86.24,485.1,16:05:17
129.36,549.78,16:05:21
172.48,528.22,16:05:25
194.04,614.46,16:05:32
226.38,539.0,16:05:49
226.38,603.68,16:06:22
269.5,668.36,16:06:24
269.5,776.16,16:06:26
269.5,883.96,16:06:27
269.5,991.76,16:06:27
269.5,1099.56,16:06:28
172.48,1110.34,16:06:29
64.68,1110.34,16:06:29
-43.12,1110.34,16:06:29
-150.92,1110.34,16:06:30
-258.72,1110.34,16:06:30
-323.4,1153.46,16:06:32
-431.2,1153.46,16:06:33
-539.0,1153.46,16:06:34
-582.12,1088.78,16:06:35
-636.02,1034.88,16:06:35
-679.14,970.2,16:06:36
-700.7,883.96,16:06:36
-786.94,862.4,16:06:36
-840.84,808.5,16:06:36
-894.74,754.6,16:06:37
-948.64,700.7,16:06:37
-1002.54,646.8,16:06:37
-1056.44,592.9,16:06:37
-1110.34,539.0,16:06:37
-1164.24,485.1,16:06:37
-1218.14,431.2,16:06:37
-1272.04,377.3,16:06:38
-1325.94,323.4,16:06:38
-1369.06,258.72,16:06:38
-1390.62,172.48,16:06:38
-1433.74,107.8,16:06:38
-1433.74,0.0,16:06:39
-1433.74,-107.8,16:06:39
-1336.72,-118.58,16:06:40
-1228.92,-118.58,16:06:40
-1121.12,-118.58,16:06:40
-1024.1,-107.8,16:06:40
-970.2,-53.9,16:06:41
-916.3,0.0,16:06:41
-862.4,53.9,16:06:41
-808.5,107.8,16:06:41
-754.6,161.7,16:06:41
-700.7,215.6,16:06:41
-646.8,269.5,16:06:42
-592.9,323.4,16:06:42
-539.0,377.3,16:06:42
-474.32,420.42,16:06:42
-366.52,420.42,16:06:43
-258.72,420.42,16:06:43
-172.48,398.86,16:06:43
-161.7,301.84,16:06:44
-183.26,215.6,16:06:44
-280.28,204.82,16:06:45
-334.18,150.92,16:06:45
-388.08,97.02,16:06:45
-485.1,86.24,16:06:45
-571.34,64.68,16:06:45
-668.36,53.9,16:06:46
-776.16,53.9,16:06:46
-883.96,53.9,16:06:46
-991.76,53.9,16:06:46
-1099.56,53.9,16:06:47
-1207.36,53.9,16:06:47
-1272.04,97.02,16:06:47
-1325.94,150.92,16:06:47
-1379.84,204.82,16:06:47
-1433.74,258.72,16:06:48
-1487.64,312.62,16:06:48
-1530.76,377.3,16:06:48
-1530.76,485.1,16:06:48
-1509.2,571.34,16:06:49
-1422.96,592.9,16:06:49
-1369.06,646.8,16:06:49
-1315.16,700.7,16:06:49
-1261.26,754.6,16:06:50
-1207.36,808.5,16:06:50
-1153.46,862.4,16:06:50
-1099.56,916.3,16:06:50
-1045.66,970.2,16:06:50
-991.76,1024.1,16:06:50
-916.3,1056.44,16:06:50
-840.84,1088.78,16:06:51
-786.94,1142.68,16:06:51
-689.92,1153.46,16:06:51
-614.46,1185.8,16:06:51
-517.44,1196.58,16:06:52
-409.64,1196.58,16:06:52
-301.84,1196.58,16:06:52
-194.04,1196.58,16:06:54
-86.24,1196.58,16:06:57
-21.56,1153.46,16:06:59
43.12,1110.34,16:07:00
53.9,1013.32,16:07:01
53.9,905.52,16:07:03
53.9,797.72,16:07:04
-10.78,754.6,16:07:05
-118.58,754.6,16:07:05
-183.26,711.48,16:07:05
-269.5,689.92,16:07:05
-301.84,614.46,16:07:06
-409.64,614.46,16:07:06
