xval,yval,time
-361.13,1336.72,15:20:53
-415.03,1336.72,15:20:58
-468.93,1336.72,15:20:59
-522.83,1336.72,15:20:59
-576.73,1336.72,15:21:51
-630.63,1336.72,15:21:58
-662.97,1358.28,15:22:12
-679.14,1385.23,15:22:38
-679.14,1385.23,15:23:44
-733.04,1385.23,15:23:52
-749.21,1422.96,15:23:52
-770.77,1455.3,15:24:42
-776.16,1503.81,15:24:47
-776.16,1557.71,15:25:08
-776.16,1611.61,15:25:21
-808.5,1633.17,15:25:37
-840.84,1654.73,15:25:59
-867.79,1681.68,15:26:08
-889.35,1714.02,15:26:33
-910.91,1746.36,15:26:36
-910.91,1800.26,15:26:54
-910.91,1854.16,15:27:52
-862.4,1859.55,15:27:59
-808.5,1859.55,15:27:59
-770.77,1875.72,15:28:21
-770.77,1929.62,15:28:39
-786.94,1967.35,15:28:56
-835.45,1972.74,15:28:56
-889.35,1972.74,15:28:57
-943.25,1972.74,15:29:04
-959.42,2010.47,15:29:11
-975.59,2048.2,15:29:23
-997.15,2080.54,15:29:25
-1034.88,2096.71,15:29:59
-1067.22,2118.27,15:30:02
-1078.0,2161.39,15:30:12
-1131.9,2161.39,15:31:15
-1180.41,2166.78,15:31:29
-1218.14,2182.95,15:31:52
-1266.65,2188.34,15:32:49
-1304.38,2204.51,15:34:02
-1336.72,2226.07,15:34:41
-1390.62,2226.07,15:35:41
-1444.52,2226.07,15:36:14
-1444.52,2172.17,15:37:51
-1482.25,2156.0,15:38:27
