xval,yval,time,platxval,platyval,orgxval,orgyval
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1049.8000000000002,-203.62500000000003,0.0,0.0,0.0,1049.8000000000002,-203.62500000000003
617.012996673584,-400.0,0.749,717.012996673584,0.0,-100.0,-400.0
517.012996673584,-500.0,1.049,717.012996673584,0.0,-200.0,-500.0
317.012996673584,-455.8758735656738,1.348,717.012996673584,-455.8758735656738,-400.0,-0.0
217.01299667358398,-555.8758735656738,2.746,717.012996673584,-455.8758735656738,-500.0,-100.0
117.01299667358398,-555.8758735656738,4.646,717.012996673584,-455.8758735656738,-600.0,-100.0
-479.62281227111816,-555.8758735656738,6.95,-79.62281227111816,-455.8758735656738,-400.0,-100.0
-379.62281227111816,-555.8758735656738,9.447,-79.62281227111816,-455.8758735656738,-300.0,-100.0
-379.62281227111816,-555.8758735656738,10.851,-79.62281227111816,-455.8758735656738,-300.0,-100.0
-1103.285367488861,-655.8758735656738,13.848,-503.2853674888611,-455.8758735656738,-600.0,-200.0
-903.2853674888611,-655.8758735656738,14.651,-503.2853674888611,-455.8758735656738,-400.0,-200.0
-1679.2122340202332,-555.8758735656738,16.347,-1179.2122340202332,-455.8758735656738,-500.0,-100.0
-1951.1643934249878,-455.8758735656738,18.649,-1551.1643934249878,-455.8758735656738,-400.0,0.0
-1551.1643934249878,-855.8758735656738,20.347,-1551.1643934249878,-455.8758735656738,-0.0,-400.0
-1551.1643934249878,-855.8758735656738,20.55,-1551.1643934249878,-455.8758735656738,0.0,-400.0
-1251.1643934249878,-1096.1712908744812,21.25,-1551.1643934249878,-796.1712908744812,300.0,-300.0
-1151.1643934249878,-996.1712908744812,22.15,-1551.1643934249878,-796.1712908744812,400.0,-200.0
-1151.1643934249878,-996.1712908744812,22.348,-1551.1643934249878,-796.1712908744812,400.0,-200.0
-1151.1643934249878,-996.1712908744812,23.45,-1551.1643934249878,-796.1712908744812,400.0,-200.0
-1151.1643934249878,-896.1712908744812,24.348,-1551.1643934249878,-796.1712908744812,400.0,-100.0
-1151.1643934249878,-796.1712908744812,25.247,-1551.1643934249878,-796.1712908744812,400.0,-0.0
-1151.1643934249878,-796.1712908744812,25.449,-1551.1643934249878,-796.1712908744812,400.0,0.0
-1151.1643934249878,-596.1712908744812,26.248,-1551.1643934249878,-796.1712908744812,400.0,200.0
-1051.1643934249878,-396.1712908744812,26.848,-1551.1643934249878,-796.1712908744812,500.0,400.0
-891.3540506362915,-357.7777051925659,29.447,-1191.3540506362915,-557.7777051925659,300.0,200.0
-991.3540506362915,-457.7777051925659,31.547,-1191.3540506362915,-557.7777051925659,200.0,100.0
-458.38853120803833,-357.7777051925659,38.55,-858.3885312080383,-557.7777051925659,400.0,200.0
-219.02027130126953,-457.7777051925659,40.347,-519.0202713012695,-557.7777051925659,300.0,100.0
80.97972869873047,-657.7777051925659,42.05,-519.0202713012695,-557.7777051925659,600.0,-100.0
110.16185998916626,-657.7777051925659,42.849,-289.83814001083374,-557.7777051925659,400.0,-100.0
210.16185998916626,-657.7777051925659,44.25,-289.83814001083374,-557.7777051925659,500.0,-100.0
753.9522004127502,-857.7777051925659,46.651,53.952200412750244,-557.7777051925659,700.0,-300.0
913.8630557060242,-757.7777051925659,47.448,413.86305570602417,-557.7777051925659,500.0,-200.0
1097.8532314300537,-757.7777051925659,48.147,797.8532314300537,-557.7777051925659,300.0,-200.0
