xval,yval,time,platxval,platyval,orgxval,orgyval
0.0,0.0,0.0,0.0,0.0,0.0,0.0
877.85,1153.875,0.0,0.0,0.0,877.85,1153.875
1102.817406654358,2093.461763858795,1.574,902.8174066543579,2093.461763858795,200.0,0.0
1102.817406654358,2093.461763858795,1.674,902.8174066543579,2093.461763858795,200.0,0.0
1102.817406654358,2093.461763858795,1.875,902.8174066543579,2093.461763858795,200.0,0.0
1102.817406654358,2193.461763858795,4.679,902.8174066543579,2093.461763858795,200.0,100.0
502.8174066543579,1893.4617638587952,8.974,902.8174066543579,2093.461763858795,-400.0,-200.0
402.8174066543579,1793.4617638587952,9.175,902.8174066543579,2093.461763858795,-500.0,-300.0
444.30542945861816,1415.1144576072693,10.074,744.3054294586182,1815.1144576072693,-300.0,-400.0
144.30542945861816,908.0374050140381,11.576,744.3054294586182,1408.037405014038,-600.0,-500.0
-177.67385482788086,340.105197429657,12.377,222.32614517211914,940.105197429657,-400.0,-600.0
-477.67385482788086,81.61028385162354,13.176,222.32614517211914,381.61028385162354,-700.0,-300.0
-807.1784257888794,-139.51080799102783,14.177,-307.1784257888794,-39.51080799102783,-500.0,-100.0
-1166.1095976829529,-439.51080799102783,14.775,-766.1095976829529,-39.51080799102783,-400.0,-400.0
-1870.7674622535706,-657.3201537132263,15.578,-1370.7674622535706,-457.3201537132263,-500.0,-200.0
-2070.7674622535706,-957.3201537132263,16.478,-1370.7674622535706,-457.3201537132263,-700.0,-500.0
-4362.858061790466,-1785.0427436828613,21.479,-3862.8580617904663,-1585.0427436828613,-500.0,-200.0
-4562.858061790466,-1785.0427436828613,21.879,-3862.8580617904663,-1585.0427436828613,-700.0,-200.0
-4800.784938335419,-1985.0427436828613,22.977,-4300.784938335419,-1585.0427436828613,-500.0,-400.0
-4900.784938335419,-1985.0427436828613,23.278,-4300.784938335419,-1585.0427436828613,-600.0,-400.0
-5708.323535919189,-1885.0427436828613,25.589,-5108.323535919189,-1585.0427436828613,-600.0,-300.0
-6665.447363853455,-2183.5147047042847,27.876,-6165.447363853455,-1983.5147047042847,-500.0,-200.0
-7909.947166442871,-2961.6260743141174,32.675,-7409.947166442871,-2661.6260743141174,-500.0,-300.0
-7909.947166442871,-3395.452525615692,33.377,-7409.947166442871,-2995.452525615692,-500.0,-400.0
-7990.896995067596,-3548.776054382324,34.377,-7690.896995067596,-3348.776054382324,-300.0,-200.0
-7990.896995067596,-3348.776054382324,34.478,-7690.896995067596,-3348.776054382324,-300.0,0.0
-7890.896995067596,-3148.776054382324,36.078,-7690.896995067596,-3348.776054382324,-200.0,200.0
-7990.896995067596,-3248.776054382324,36.778,-7690.896995067596,-3348.776054382324,-300.0,100.0
-8190.896995067596,-3448.776054382324,37.576,-7690.896995067596,-3348.776054382324,-500.0,-100.0
-8322.327585220337,-3448.776054382324,39.475,-8022.327585220337,-3348.776054382324,-300.0,-100.0
-8322.327585220337,-3448.776054382324,39.876,-8022.327585220337,-3348.776054382324,-300.0,-100.0
-8322.327585220337,-3448.776054382324,40.575,-8022.327585220337,-3348.776054382324,-300.0,-100.0
-8322.327585220337,-3348.776054382324,41.577,-8022.327585220337,-3348.776054382324,-300.0,-0.0
-7722.327585220337,-2848.776054382324,44.778,-8022.327585220337,-3348.776054382324,300.0,500.0
-6766.8309807777405,-2354.3759441375732,47.287,-7266.8309807777405,-2554.3759441375732,500.0,200.0
-6057.600109577179,-2354.3759441375732,48.777,-6457.600109577179,-2554.3759441375732,400.0,200.0
-5316.759309768677,-2454.3759441375732,50.077,-6016.759309768677,-2554.3759441375732,700.0,100.0
-5186.918992996216,-2554.3759441375732,50.279,-5586.918992996216,-2554.3759441375732,400.0,0.0
-5086.918992996216,-2554.3759441375732,50.478,-5586.918992996216,-2554.3759441375732,500.0,0.0
-4279.875364303589,-2554.3759441375732,52.375,-4679.875364303589,-2554.3759441375732,400.0,-0.0
-2830.514795780182,-2954.3759441375732,55.376,-3430.514795780182,-2554.3759441375732,600.0,-400.0
-2003.8925218582153,-3193.73074054718,57.079,-2703.8925218582153,-3093.73074054718,700.0,-100.0
-1545.2549028396606,-3293.73074054718,58.275,-2245.2549028396606,-3093.73074054718,700.0,-200.0
-1545.2549028396606,-3293.73074054718,58.374,-2245.2549028396606,-3093.73074054718,700.0,-200.0
-1113.5127544403076,-3593.73074054718,59.577,-1713.5127544403076,-3093.73074054718,600.0,-500.0
-1013.5127544403076,-3554.664099216461,59.978,-1713.5127544403076,-3454.664099216461,700.0,-100.0
-941.3407826423645,-3554.664099216461,60.577,-1341.3407826423645,-3454.664099216461,400.0,-100.0
-641.3407826423645,-3654.664099216461,61.176,-1341.3407826423645,-3454.664099216461,700.0,-200.0
-544.8330426216125,-3654.664099216461,61.375,-944.8330426216125,-3454.664099216461,400.0,-200.0
130.46851634979248,-3554.664099216461,62.577,-469.5314836502075,-3454.664099216461,600.0,-100.0
853.3967995643616,-3354.664099216461,63.978,353.3967995643616,-3454.664099216461,500.0,100.0
2193.120927810669,-3454.664099216461,66.774,1693.120927810669,-3454.664099216461,500.0,0.0
2093.120927810669,-3454.664099216461,66.977,1693.120927810669,-3454.664099216461,400.0,-0.0
2093.120927810669,-3454.664099216461,67.078,1693.120927810669,-3454.664099216461,400.0,-0.0
3475.724833011627,-3654.664099216461,69.576,2975.724833011627,-3454.664099216461,500.0,-200.0
3475.724833011627,-3654.664099216461,69.779,2975.724833011627,-3454.664099216461,500.0,-200.0
3575.724833011627,-3654.664099216461,70.877,2975.724833011627,-3454.664099216461,600.0,-200.0
3851.933743953705,-3754.664099216461,73.274,3351.933743953705,-3454.664099216461,500.0,-300.0
3351.933743953705,-5186.668648719788,76.674,3351.933743953705,-4986.668648719788,0.0,-200.0
3251.933743953705,-5286.668648719788,76.979,3351.933743953705,-4986.668648719788,-100.0,-300.0
3151.933743953705,-5386.668648719788,77.177,3351.933743953705,-4986.668648719788,-200.0,-400.0
2851.933743953705,-5676.217620372772,77.677,3351.933743953705,-5476.217620372772,-500.0,-200.0
2455.4664754867554,-5776.217620372772,78.879,3055.4664754867554,-5476.217620372772,-600.0,-300.0
2172.923867702484,-5776.217620372772,79.275,2672.923867702484,-5476.217620372772,-500.0,-300.0
786.4380979537964,-5976.217620372772,81.778,1486.4380979537964,-5476.217620372772,-700.0,-500.0
307.10006952285767,-6116.018302440643,82.376,1007.1000695228577,-5616.018302440643,-700.0,-500.0
8.367903232574463,-6116.018302440643,82.578,608.3679032325745,-5616.018302440643,-600.0,-500.0
208.36790323257446,-6151.2140417099,82.974,608.3679032325745,-6151.2140417099,-400.0,-0.0
-91.63209676742554,-6251.2140417099,84.485,608.3679032325745,-6151.2140417099,-700.0,-100.0
-178.0538296699524,-6251.2140417099,84.678,221.9461703300476,-6151.2140417099,-400.0,-100.0
-478.0538296699524,-5114.060578346252,87.576,221.9461703300476,-5514.060578346252,-700.0,400.0
-555.0194025039673,-5114.060578346252,87.877,-155.01940250396729,-5514.060578346252,-400.0,400.0
-555.0194025039673,-4775.03604888916,88.777,-155.01940250396729,-5075.03604888916,-400.0,300.0
-455.0194025039673,-4096.209115982056,89.877,-155.01940250396729,-4696.209115982056,-300.0,600.0
-255.01940250396729,-3660.9128642082214,90.777,-155.01940250396729,-4160.912864208221,-100.0,500.0
-155.01940250396729,-3231.170163154602,90.979,-155.01940250396729,-3631.170163154602,-0.0,400.0
-155.01940250396729,-3531.170163154602,91.178,-155.01940250396729,-3631.170163154602,0.0,100.0
44.980597496032715,-3231.170163154602,91.678,-155.01940250396729,-3631.170163154602,200.0,400.0
144.98059749603271,-3131.170163154602,91.879,-155.01940250396729,-3631.170163154602,300.0,500.0
702.0606637001038,-2098.453025817871,94.077,202.06066370010376,-2598.453025817871,500.0,500.0
702.0606637001038,-1820.379388332367,94.278,202.06066370010376,-2120.379388332367,500.0,300.0
602.0606637001038,-1444.823260307312,96.176,202.06066370010376,-1644.823260307312,400.0,200.0
602.0606637001038,-1344.823260307312,97.077,202.06066370010376,-1644.823260307312,400.0,300.0
1653.6928606033325,-624.981119632721,99.775,1153.6928606033325,-1224.981119632721,500.0,600.0
1753.6928606033325,-559.4644999504089,100.775,1153.6928606033325,-759.4644999504089,600.0,200.0
1653.6928606033325,-559.4644999504089,102.378,1153.6928606033325,-759.4644999504089,500.0,200.0
2277.4911546707153,-359.46449995040894,104.477,1577.4911546707153,-759.4644999504089,700.0,400.0
2474.1055130958557,-359.46449995040894,104.679,1974.1055130958557,-759.4644999504089,500.0,400.0
2474.1055130958557,-139.40536499023438,105.778,1974.1055130958557,-339.4053649902344,500.0,200.0
2474.1055130958557,-139.40536499023438,105.978,1974.1055130958557,-339.4053649902344,500.0,200.0
2574.1055130958557,-39.405364990234375,106.777,1974.1055130958557,-339.4053649902344,600.0,300.0
2574.1055130958557,-39.405364990234375,107.178,1974.1055130958557,-339.4053649902344,600.0,300.0
2574.1055130958557,-39.405364990234375,108.277,1974.1055130958557,-339.4053649902344,600.0,300.0
2574.1055130958557,-39.405364990234375,109.275,1974.1055130958557,-339.4053649902344,600.0,300.0
2574.1055130958557,-39.405364990234375,109.577,1974.1055130958557,-339.4053649902344,600.0,300.0
2574.1055130958557,60.594635009765625,110.476,1974.1055130958557,-339.4053649902344,600.0,400.0
2614.87562417984,60.594635009765625,111.077,2114.87562417984,-339.4053649902344,500.0,400.0
2714.87562417984,60.594635009765625,112.678,2114.87562417984,-339.4053649902344,600.0,400.0
2714.87562417984,-39.405364990234375,114.179,2114.87562417984,-339.4053649902344,600.0,300.0
1714.87562417984,-139.40536499023438,117.479,2114.87562417984,-339.4053649902344,-400.0,200.0
1614.87562417984,-39.405364990234375,117.975,2114.87562417984,-339.4053649902344,-500.0,300.0
1514.87562417984,160.59463500976562,119.774,2114.87562417984,-339.4053649902344,-600.0,500.0
1514.87562417984,211.8957805633545,120.776,2114.87562417984,111.89578056335449,-600.0,100.0
1732.3954057693481,11.895780563354492,121.676,1632.3954057693481,111.89578056335449,100.0,-100.0
1732.3954057693481,211.8957805633545,122.375,1632.3954057693481,111.89578056335449,100.0,100.0
1332.3954057693481,211.8957805633545,123.477,1632.3954057693481,111.89578056335449,-300.0,100.0
553.2749199867249,111.89578056335449,125.179,1253.2749199867249,111.89578056335449,-700.0,-0.0
374.36806201934814,-88.10421943664551,125.978,774.3680620193481,111.89578056335449,-400.0,-200.0
74.36806201934814,-188.1042194366455,126.575,774.3680620193481,111.89578056335449,-700.0,-300.0
-703.3969950675964,-980.0854539871216,128.179,-303.39699506759644,-680.0854539871216,-400.0,-300.0
-1688.3601236343384,-984.9647736549377,132.578,-988.3601236343384,-984.9647736549377,-700.0,-0.0
-1866.4553666114807,-1084.9647736549377,133.276,-1466.4553666114807,-984.9647736549377,-400.0,-100.0
-2421.6130137443542,-984.9647736549377,134.878,-1821.6130137443542,-984.9647736549377,-600.0,-0.0
-2421.6130137443542,-884.9647736549377,136.075,-1821.6130137443542,-984.9647736549377,-600.0,100.0
-2421.6130137443542,-884.9647736549377,136.275,-1821.6130137443542,-984.9647736549377,-600.0,100.0
-2608.731758594513,-884.9647736549377,136.478,-2208.731758594513,-984.9647736549377,-400.0,100.0
-2308.731758594513,-984.9647736549377,137.275,-2208.731758594513,-984.9647736549377,-100.0,0.0
-2908.731758594513,-884.9647736549377,138.678,-2208.731758594513,-984.9647736549377,-700.0,100.0
-3173.8301253318787,-1084.9647736549377,141.577,-2973.8301253318787,-984.9647736549377,-200.0,-100.0
-3073.8301253318787,-1184.9647736549377,143.278,-2973.8301253318787,-984.9647736549377,-100.0,-200.0
-3073.8301253318787,-1184.9647736549377,144.275,-2973.8301253318787,-984.9647736549377,-100.0,-200.0
-3273.8301253318787,-484.96477365493774,145.677,-2973.8301253318787,-984.9647736549377,-300.0,500.0
-3473.8301253318787,-193.01790475845337,146.278,-2973.8301253318787,-293.01790475845337,-500.0,100.0
-3673.8301253318787,6.982095241546631,146.678,-2973.8301253318787,-293.01790475845337,-700.0,300.0
-5059.8122382164,1256.087076663971,150.179,-4559.8122382164,856.087076663971,-500.0,400.0
-5893.194212913513,1337.911458015442,153.378,-5293.194212913513,1137.911458015442,-600.0,200.0
-5898.8861656188965,1500.317199230194,155.775,-5698.8861656188965,1400.317199230194,-200.0,100.0
-5998.8861656188965,1500.317199230194,156.179,-5698.8861656188965,1400.317199230194,-300.0,100.0
-5298.8861656188965,900.3171992301941,161.174,-5698.8861656188965,1400.317199230194,400.0,-500.0
-5498.8861656188965,797.4281668663025,164.778,-5698.8861656188965,797.4281668663025,200.0,-0.0
-5498.8861656188965,1297.4281668663025,166.278,-5698.8861656188965,797.4281668663025,200.0,500.0
-5298.8861656188965,2047.9847860336304,166.978,-5698.8861656188965,1747.9847860336304,400.0,300.0
-4624.987788200378,2192.7802515029907,168.676,-4924.987788200378,2092.7802515029907,300.0,100.0
-4724.987788200378,2092.7802515029907,170.376,-4924.987788200378,2092.7802515029907,200.0,-0.0
-4724.987788200378,1992.7802515029907,170.975,-4924.987788200378,2092.7802515029907,200.0,-100.0
-4624.987788200378,1992.7802515029907,171.179,-4924.987788200378,2092.7802515029907,300.0,-100.0
-4424.987788200378,939.9834728240967,173.879,-4924.987788200378,1439.9834728240967,500.0,-500.0
-4524.987788200378,662.5655150413513,174.578,-4924.987788200378,962.5655150413513,400.0,-300.0
-4824.987788200378,105.13083696365356,175.776,-4924.987788200378,605.1308369636536,100.0,-500.0
-5224.987788200378,-219.3913197517395,176.677,-4924.987788200378,80.6086802482605,-300.0,-300.0
-5524.987788200378,-419.3913197517395,177.276,-4924.987788200378,80.6086802482605,-600.0,-500.0
-5673.847825527191,-798.2371187210083,178.074,-5173.847825527191,-398.2371187210083,-500.0,-400.0
-5773.847825527191,-998.2371187210083,178.378,-5173.847825527191,-398.2371187210083,-600.0,-600.0
-6146.4369559288025,-1216.4898467063904,180.175,-5646.4369559288025,-816.4898467063904,-500.0,-400.0
-6246.4369559288025,-1255.1488828659058,181.074,-5646.4369559288025,-1155.1488828659058,-600.0,-100.0
-6390.061967372894,-1355.1488828659058,181.675,-5990.061967372894,-1155.1488828659058,-400.0,-200.0
-6590.061967372894,-1455.1488828659058,182.979,-5990.061967372894,-1155.1488828659058,-600.0,-300.0
-6705.198338031769,-1355.1488828659058,183.677,-6405.198338031769,-1155.1488828659058,-300.0,-200.0
-6905.198338031769,-855.1488828659058,185.579,-6405.198338031769,-1155.1488828659058,-500.0,300.0
-6205.198338031769,-137.06845045089722,187.477,-6405.198338031769,-637.0684504508972,200.0,500.0
-4468.1165766716,-618.4719920158386,190.878,-4968.1165766716,-318.4719920158386,500.0,-300.0
-3285.902979373932,-938.9869546890259,193.475,-3685.902979373932,-438.9869546890259,400.0,-500.0
-2769.6129846572876,-989.6259236335754,194.375,-3169.6129846572876,-989.6259236335754,400.0,0.0
-2669.6129846572876,-989.6259236335754,194.579,-3169.6129846572876,-989.6259236335754,500.0,0.0
-723.8660883903503,-1888.3674836158752,199.078,-1223.8660883903503,-1388.3674836158752,500.0,-500.0
-623.8660883903503,-2147.209494113922,199.576,-1223.8660883903503,-1947.2094941139221,600.0,-200.0
-238.77434492111206,-2247.209494113922,199.677,-638.7743449211121,-1947.2094941139221,400.0,-300.0
-138.77434492111206,-2547.209494113922,200.176,-638.7743449211121,-1947.2094941139221,500.0,-600.0
1683.096055984497,-4841.465809345245,205.078,1183.096055984497,-4441.465809345245,500.0,-400.0
1783.096055984497,-5419.134109020233,205.676,1183.096055984497,-4919.134109020233,600.0,-500.0
1783.096055984497,-5219.134109020233,205.879,1183.096055984497,-4919.134109020233,600.0,-300.0
2034.0199661254883,-5690.813148021698,206.875,1534.0199661254883,-5590.813148021698,500.0,-100.0
