time,speed
0.0,9.81
10.193,0.0
17.988,0.0
27.592,0.0
34.29,0.0
44.692,0.0
51.988,0.0
61.892,13.16
69.492,0.0
76.792,0.0
83.892,0.0
90.987,0.0
95.69,0.0
101.192,0.0
107.892,0.0
115.09,0.0
121.592,12.05
129.89,0.0
136.689,0.0
143.892,15.88
150.191,13.89
157.391,0.0
163.592,0.0
169.988,13.88
177.192,0.0
184.09,0.0
191.188,0.0
197.392,0.0
203.389,0.0
210.492,0.0
217.989,0.0
224.79,0.0
230.789,13.33
238.292,0.0
245.589,0.0
252.892,14.29
259.892,0.0
266.793,0.0
274.292,0.74
280.889,2.54
286.492,0.0
294.192,0.0
301.489,0.68
308.391,1.26
316.091,0.69
322.49,0.71
329.088,11.04
338.292,0.0
345.189,0.0
353.189,0.58
361.192,0.0
369.789,0.0
378.689,0.0
386.19,0.0
394.192,0.0
402.593,0.61
409.89,0.0
417.188,0.62
425.091,0.0
431.492,0.6
438.889,0.0
444.492,0.78
450.491,0.51
460.093,1.08
468.991,2.23
475.391,0.61
482.689,1.8
490.19,1.11
498.788,1.26
506.392,0.67
513.69,0.7
520.388,13.57
527.791,0.0
534.79,0.59
542.291,1.98
549.592,0.5
558.391,0.0
565.49,2.57
574.091,0.0
582.892,0.0
590.592,1.23
598.191,0.56
606.491,0.51
615.592,1.31
623.291,0.0
631.792,0.0
638.592,1.71
646.791,1.13
655.489,2.63
662.692,1.44
669.491,1.46
679.089,1.28
690.189,10.3
699.992,0.58
708.092,1.05
716.992,0.56
725.392,1.36
735.289,1.33
745.789,0.42
757.491,0.92
767.59,12.25
775.79,10.49
785.589,2.2
794.089,2.67
804.491,1.66
815.589,1.37
825.79,1.56
835.089,1.07
843.79,1.23
851.392,2.59
858.689,0.59
866.69,1.15
874.791,3.68
883.591,1.85
891.29,0.0
898.692,1.97
905.792,1.7
913.89,1.28
921.19,1.23
928.39,13.22
935.99,1.39
942.693,0.68
949.591,1.35
956.692,1.61
962.491,1.81
967.789,1.39
974.492,1.69
980.292,0.78
985.993,2.3
992.089,1.74
1000.293,0.0
1006.692,1.51
1012.892,1.97
1019.988,1.46
1026.392,1.41
1032.993,2.29
1038.893,1.51
1045.091,0.63
1052.492,2.26
1058.793,1.21
1066.489,3.47
1073.29,2.67
1080.292,2.31
1086.593,2.51
1094.191,2.52
1101.588,3.7
1110.688,2.36
1118.692,1.21
1126.591,1.46
1132.99,4.25
1140.692,1.85
1147.988,4.04
1154.99,1.95
1162.19,2.0
1171.39,2.72
1178.089,2.02
1185.193,1.44
1191.693,0.73
1197.788,10.81
1207.192,15.65
1213.693,2.92
1219.993,1.8
1227.891,2.88
1235.992,1.4
1242.489,3.14
1251.493,2.33
1259.591,1.64
1267.99,2.04
1274.389,3.95
1280.29,2.1
1287.09,2.33
1293.091,1.37
1300.09,0.67
1307.092,0.68
1313.59,0.61
1321.189,1.4
1327.689,0.0
1334.089,15.22
1340.689,13.88
1347.892,0.0
1353.49,0.73
1360.592,0.66
1367.29,1.67
1372.89,0.0
1379.59,1.46
1385.99,0.0
1392.389,0.0
1399.29,0.0
1405.893,0.0
1412.99,0.0
1419.191,0.0
1427.292,0.0
1433.589,0.0
1441.093,0.0
1447.792,0.0
1455.092,0.0
1462.091,0.0
1470.791,0.0
1477.89,0.0
1485.993,0.0
1492.891,0.0
1499.693,0.0
1508.89,0.0
1517.492,0.0
1524.893,0.0
1533.592,0.0
1540.791,0.0
1548.593,0.0
1555.492,0.0
1561.689,0.0
1569.992,0.0
1577.592,0.0
1584.191,0.0
1596.491,0.0
1606.393,0.0
1614.79,0.0
1628.188,0.37
1640.09,0.0
1651.293,0.0
1661.789,0.0
1670.588,0.0
1682.389,0.0
1692.392,0.0
1700.891,0.0
1710.489,0.0
1717.489,0.0
1727.189,0.0
1734.491,0.0
1742.89,0.0
1753.092,0.0
1761.093,0.0
1767.891,0.0
1774.993,0.0
1782.091,0.0
1789.691,0.0
1797.791,0.0
1805.29,0.0
1812.289,0.0
1820.491,0.0
1828.292,0.0
1834.889,0.0
1841.292,0.85
1848.19,1.49
1854.79,0.0
