time,speed
0.0,16.05
25.852,9.56
59.349,6.04
82.75,12.7
115.653,10.6
144.548,16.13
175.553,6.23
207.652,11.02
236.352,16.08
264.251,8.64
298.651,9.58
326.051,4.98
352.452,14.81
382.652,3.84
413.251,14.01
448.951,8.69
485.352,36.8
513.849,13.6
544.453,10.48
571.453,6.58
605.453,17.0
636.949,24.24
667.749,7.85
696.249,2.52
725.649,5.03
753.753,11.56
784.949,3.98
820.454,22.43
848.653,34.72
878.649,11.75
905.551,3.4
934.954,4.08
969.653,30.02
1001.254,24.86
1029.95,31.84
1060.85,4.21
1090.854,14.51
1124.954,22.01
1155.853,7.33
1193.349,8.5
1228.951,6.69
1263.15,4.59
1295.451,8.49
1325.348,11.37
1354.752,10.59
1391.951,6.65
1431.15,12.23
1469.249,7.09
1509.351,10.19
1545.952,3.88
1582.652,5.24
1612.55,10.87
1640.952,8.75
1668.051,7.25
1693.752,12.9
1719.551,9.75
1750.95,10.71
1782.95,5.75
1806.751,6.52
1834.052,5.34
1859.252,12.09
1885.053,15.21
1908.552,6.36
1934.953,8.86
1958.854,3.22
1989.953,3.88
2015.753,4.0
2040.75,5.53
2067.454,5.35
2092.553,4.1
2120.953,5.83
2146.65,6.7
2171.35,6.93
2202.052,6.36
2226.15,4.64
2250.451,9.55
2276.651,11.25
2304.152,13.85
2332.653,13.32
2356.653,16.88
2384.25,20.96
2409.551,22.92
2437.653,21.26
2467.35,27.05
2497.451,26.21
2522.153,25.8
2550.052,14.11
2581.154,23.18
2607.153,9.43
2634.652,10.37
2658.454,5.93
2684.152,8.35
2710.754,6.1
2741.25,12.91
2769.352,4.17
2794.351,12.19
2818.952,9.75
2847.951,10.27
2877.151,9.01
2899.354,4.2
2923.152,8.39
2952.651,13.48
2979.852,9.69
3006.951,5.49
3028.652,4.63
3050.252,4.7
3071.551,5.99
3095.151,6.4
3117.254,6.34
3140.452,3.3
3162.551,14.19
3185.853,15.56
3208.95,9.46
3232.053,6.59
3251.454,7.86
3275.651,6.92
3297.453,17.03
3321.052,7.57
3342.054,2.24
3358.252,10.78
3374.551,5.96
3387.654,8.03
3404.752,18.98
3419.652,8.78
3435.751,18.02
3451.451,28.78
3464.955,29.04
3477.953,1.35
3486.752,10.47
3500.254,13.2
3513.352,3.05
3523.252,3.6
3535.453,4.82
3547.052,6.68
3561.053,9.69
3571.453,17.07
3584.55,18.63
3600.65,20.27
3622.555,9.5
3645.552,11.73
3666.955,5.08
3691.55,42.2
3715.354,13.43
3736.852,0.72
3758.15,9.89
3780.751,22.93
3806.951,17.87
3828.751,13.8
3851.352,12.17
3872.253,7.49
3896.253,9.98
3918.654,11.08
3942.55,13.46
3965.255,14.8
3990.254,12.99
4014.855,5.23
4039.353,12.45
4064.352,4.31
4087.553,13.87
4112.754,6.16
4138.653,12.68
4162.655,14.45
4192.154,5.0
4224.655,12.49
4242.554,0.0
4263.454,27.4
4286.854,41.82
4316.254,28.68
4344.455,26.99
4369.955,26.19
4400.453,22.21
4427.953,24.79
4456.753,17.51
4483.254,20.49
4507.053,28.88
4540.855,8.94
4564.854,9.1
4599.555,16.14
4636.551,12.54
4667.255,10.15
4702.051,11.34
4737.154,1.04
4769.753,10.61
4809.855,9.56
4831.652,4.41
4855.352,4.75
4882.155,6.91
4921.053,2.65
4958.754,7.92
4994.453,0.26
5014.855,3.33
5041.655,4.95
5082.054,14.93
5121.852,9.26
5160.953,7.02
5200.853,9.2
5238.954,11.24
5278.75,32.24
5326.15,6.0
5368.956,9.17
5415.752,16.08
5460.452,7.53
5507.453,9.94
5550.455,5.35
5587.554,6.9
5632.452,3.39
5671.755,3.66
5719.156,11.99
5765.955,5.63
5812.256,4.17
5856.353,11.06
5904.455,2.81
5940.554,4.37
5982.951,4.35
6019.954,6.89
6053.151,10.42
6088.055,16.75
6121.253,6.24
6156.654,5.5
6185.454,6.13
6209.253,6.39
6236.752,0.78
6261.352,6.36
6291.354,3.73
6317.551,7.93
6343.553,5.4
6368.355,5.35
6389.552,8.3
6418.451,3.21
6443.65,7.44
6468.754,7.27
6491.553,8.66
6516.354,3.17
6544.652,0.94
6573.552,6.04
6597.952,9.81
6621.056,9.08
6645.556,11.05
6670.252,14.89
6695.155,7.3
6719.956,8.05
6740.256,9.36
6792.255,5.43
6840.152,5.96
6889.153,34.32
6917.252,20.26
6948.652,33.18
6984.155,38.56
7006.555,0.0
7029.753,3.73
7072.754,10.12
7101.253,11.47
7128.456,15.43
7151.154,24.17
7180.054,17.38
7208.756,36.56
7233.756,19.67
7262.151,12.52
7286.554,19.0
7312.353,30.67
7337.856,17.76
7365.056,26.0
7387.954,17.28
7413.356,9.29
7441.952,23.47
7468.153,12.25
7498.156,20.4
7524.354,14.11
7555.352,16.5
7579.754,5.28
7603.753,2.52
7626.554,8.54
7648.654,9.93
7677.954,10.03
7703.056,15.58
7725.155,7.92
7749.355,6.06
7770.454,4.65
7797.752,4.29
7821.056,9.83
7848.153,3.87
7870.756,5.45
7893.953,3.88
7919.156,12.07
7945.354,13.4
7968.956,11.93
7999.454,0.0
8023.053,13.06
8046.356,11.97
8071.953,8.68
8101.652,52.57
8126.356,40.26
8148.652,10.97
8170.254,5.1
8196.256,7.05
8221.354,27.71
8236.355,26.31
8256.654,23.03
8277.556,18.36
8300.257,17.45
8324.155,11.94
8350.757,16.9
8374.157,4.23
8400.752,10.84
8423.854,7.87
8449.256,13.45
8471.554,4.15
8498.755,9.63
8524.856,20.35
8549.756,13.29
8573.653,13.25
8599.853,10.85
8630.556,5.17
8655.055,8.93
8679.856,13.29
8707.353,18.81
8731.254,22.6
8754.057,21.64
8775.955,18.16
8798.154,15.26
8820.555,2.33
8844.457,16.57
8866.854,11.61
8892.654,8.89
8920.652,8.33
8951.255,36.03
8977.754,12.84
9000.052,3.67
9027.354,5.3
9054.053,5.42
9080.154,8.3
9107.954,9.26
9129.557,18.27
9151.453,35.7
9176.657,11.26
9201.053,13.5
9228.856,24.86
9255.457,15.9
9280.156,6.95
9310.655,9.93
9336.757,4.52
9360.053,13.42
9383.055,7.55
9409.555,12.03
9435.653,12.31
9456.858,10.07
9479.056,23.62
9503.855,16.11
9530.157,4.08
9554.357,12.63
9579.958,13.26
9607.056,9.93
9635.258,18.16
9663.354,12.97
9689.353,10.6
9723.055,1.53
9753.053,9.07
9782.157,17.4
9804.253,12.1
9830.354,7.75
9856.156,4.59
9878.853,14.84
9906.355,4.09
9931.755,5.81
9955.855,5.99
9976.954,35.06
10022.057,10.2
10089.853,15.7
10128.257,16.53
10159.958,11.59
10194.753,16.95
10227.757,7.36
10255.654,5.94
10283.258,14.24
10310.054,7.29
10341.356,6.04
10371.153,16.92
10399.953,10.06
10430.358,13.38
10466.453,17.16
10499.457,23.03
10535.454,15.87
10574.355,12.68
10602.552,15.92
10648.954,18.95
10687.353,7.79
10710.855,14.78
10731.856,19.06
10749.656,12.41
