xval,yval,time,platxval,platyval,orgxval,orgyval
0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.8,3.7199999999999998,0.0,0.0,0.0,24.8,3.7199999999999998
0.0,0.0,0.119,0.0,0.0,0.0,0.0
0.0,0.0,0.318,0.0,0.0,0.0,-0.0
0.0,0.0,1.017,0.0,0.0,0.0,-0.0
0.0,0.0,2.121,0.0,0.0,0.0,0.0
0.0,0.0,2.517,0.0,0.0,0.0,0.0
0.0,0.0,2.718,0.0,0.0,0.0,0.0
0.0,0.0,2.92,0.0,0.0,0.0,0.0
0.0,0.0,3.32,0.0,0.0,0.0,0.0
0.0,0.0,3.519,0.0,0.0,0.0,0.0
0.0,0.0,3.717,0.0,0.0,0.0,0.0
0.0,0.0,4.021,0.0,0.0,0.0,0.0
0.0,0.0,4.317,0.0,0.0,0.0,0.0
0.0,0.0,5.321,0.0,0.0,0.0,0.0
0.0,0.0,6.32,0.0,0.0,0.0,0.0
0.0,0.0,7.02,0.0,0.0,0.0,0.0
0.0,0.0,8.217,0.0,0.0,0.0,0.0
0.0,0.0,8.717,0.0,0.0,0.0,0.0
0.0,0.0,9.419,0.0,0.0,0.0,0.0
0.0,0.0,9.621,0.0,0.0,0.0,0.0
0.0,0.0,10.121,0.0,0.0,0.0,0.0
0.0,0.0,10.32,0.0,0.0,0.0,0.0
0.0,0.0,10.817,0.0,0.0,0.0,0.0
0.0,0.0,11.321,0.0,0.0,0.0,0.0
0.0,0.0,11.621,0.0,0.0,0.0,0.0
0.0,0.0,12.119,0.0,0.0,0.0,0.0
0.0,0.0,12.618,0.0,0.0,0.0,0.0
0.0,0.0,12.822,0.0,0.0,0.0,0.0
0.0,0.0,13.317,0.0,0.0,0.0,0.0
0.0,0.0,14.022,0.0,0.0,0.0,0.0
0.0,0.0,15.817,0.0,0.0,0.0,0.0
0.0,0.0,16.22,0.0,0.0,0.0,0.0
0.0,0.0,16.718,0.0,0.0,0.0,0.0
0.0,0.0,16.921,0.0,0.0,0.0,0.0
0.0,0.0,17.121,0.0,0.0,0.0,0.0
0.0,0.0,18.117,0.0,0.0,0.0,0.0
0.0,0.0,18.918,0.0,0.0,0.0,0.0
0.0,0.0,20.82,0.0,0.0,0.0,0.0
0.0,0.0,21.517,0.0,0.0,0.0,0.0
0.0,0.0,21.721,0.0,0.0,0.0,0.0
0.0,0.0,21.92,0.0,0.0,0.0,0.0
0.0,0.0,22.121,0.0,0.0,0.0,0.0
0.0,0.0,22.32,0.0,0.0,0.0,0.0
0.0,0.0,22.721,0.0,0.0,0.0,0.0
0.0,0.0,23.22,0.0,0.0,0.0,0.0
0.0,0.0,23.42,0.0,0.0,0.0,0.0
0.0,0.0,24.219,0.0,0.0,0.0,0.0
0.0,0.0,26.521,0.0,0.0,0.0,0.0
0.0,0.0,28.019,0.0,0.0,0.0,0.0
0.0,0.0,29.52,0.0,0.0,0.0,0.0
0.0,0.0,30.32,0.0,0.0,0.0,0.0
0.0,0.0,31.717,0.0,0.0,0.0,0.0
0.0,0.0,32.217,0.0,0.0,0.0,0.0
0.0,0.0,32.717,0.0,0.0,0.0,0.0
0.0,0.0,33.32,0.0,0.0,0.0,0.0
0.0,0.0,33.82,0.0,0.0,0.0,0.0
0.0,0.0,35.517,0.0,0.0,0.0,0.0
0.0,0.0,36.421,0.0,0.0,0.0,0.0
0.0,0.0,36.92,0.0,0.0,0.0,0.0
0.0,0.0,37.42,0.0,0.0,0.0,0.0
0.0,0.0,37.717,0.0,0.0,0.0,0.0
0.0,0.0,37.92,0.0,0.0,0.0,0.0
0.0,0.0,39.22,0.0,0.0,0.0,0.0
0.0,0.0,39.721,0.0,0.0,0.0,0.0
0.0,0.0,40.72,0.0,0.0,0.0,0.0
0.0,0.0,40.921,0.0,0.0,0.0,0.0
0.0,0.0,42.017,0.0,0.0,0.0,0.0
0.0,0.0,42.219,0.0,0.0,0.0,0.0
0.0,0.0,42.717,0.0,0.0,0.0,0.0
0.0,0.0,42.919,0.0,0.0,0.0,0.0
0.0,0.0,44.117,0.0,0.0,0.0,0.0
0.0,0.0,44.517,0.0,0.0,0.0,0.0
0.0,0.0,45.416,0.0,0.0,0.0,0.0
0.0,0.0,45.62,0.0,0.0,0.0,0.0
0.0,0.0,46.021,0.0,0.0,0.0,0.0
0.0,0.0,46.517,0.0,0.0,0.0,0.0
0.0,0.0,46.721,0.0,0.0,0.0,0.0
0.0,0.0,46.92,0.0,0.0,0.0,0.0
0.0,0.0,47.617,0.0,0.0,0.0,0.0
0.0,0.0,49.02,0.0,0.0,0.0,0.0
0.0,0.0,49.22,0.0,0.0,0.0,0.0
0.0,0.0,49.42,0.0,0.0,0.0,0.0
0.0,0.0,49.619,0.0,0.0,0.0,0.0
0.0,0.0,49.82,0.0,0.0,0.0,0.0
0.0,0.0,50.021,0.0,0.0,0.0,0.0
0.0,0.0,52.22,0.0,0.0,0.0,0.0
0.0,0.0,53.217,0.0,0.0,0.0,0.0
0.0,0.0,54.121,0.0,0.0,0.0,0.0
0.0,0.0,56.017,0.0,0.0,0.0,0.0
0.0,0.0,56.22,0.0,0.0,0.0,0.0
0.0,0.0,56.82,0.0,0.0,0.0,0.0
0.0,0.0,57.021,0.0,0.0,0.0,0.0
0.0,0.0,57.519,0.0,0.0,0.0,0.0
0.0,0.0,58.017,0.0,0.0,0.0,0.0
0.0,0.0,58.22,0.0,0.0,0.0,0.0
0.0,0.0,58.419,0.0,0.0,0.0,0.0
0.0,0.0,58.921,0.0,0.0,0.0,0.0
0.0,0.0,59.419,0.0,0.0,0.0,0.0
0.0,0.0,60.117,0.0,0.0,0.0,0.0
0.0,0.0,60.32,0.0,0.0,0.0,0.0
0.0,0.0,60.817,0.0,0.0,0.0,0.0
0.0,0.0,61.22,0.0,0.0,0.0,0.0
0.0,0.0,63.02,0.0,0.0,0.0,0.0
0.0,0.0,63.318,0.0,0.0,0.0,0.0
0.0,0.0,64.217,0.0,0.0,0.0,0.0
0.0,0.0,64.419,0.0,0.0,0.0,0.0
0.0,0.0,64.619,0.0,0.0,0.0,0.0
0.0,0.0,65.817,0.0,0.0,0.0,0.0
0.0,0.0,66.02,0.0,0.0,0.0,0.0
0.0,0.0,66.22,0.0,0.0,0.0,0.0
0.0,0.0,68.018,0.0,0.0,0.0,0.0
0.0,0.0,68.219,0.0,0.0,0.0,0.0
0.0,0.0,68.42,0.0,0.0,0.0,0.0
0.0,0.0,69.121,0.0,0.0,0.0,0.0
0.0,0.0,69.62,0.0,0.0,0.0,0.0
0.0,0.0,70.117,0.0,0.0,0.0,0.0
0.0,0.0,70.317,0.0,0.0,0.0,0.0
0.0,0.0,71.216,0.0,0.0,0.0,0.0
0.0,0.0,71.42,0.0,0.0,0.0,0.0
0.0,0.0,72.22,0.0,0.0,0.0,0.0
0.0,0.0,72.418,0.0,0.0,0.0,0.0
0.0,0.0,72.617,0.0,0.0,0.0,0.0
0.0,0.0,72.82,0.0,0.0,0.0,0.0
0.0,0.0,73.317,0.0,0.0,0.0,0.0
0.0,0.0,73.519,0.0,0.0,0.0,0.0
0.0,0.0,73.72,0.0,0.0,0.0,0.0
0.0,0.0,73.92,0.0,0.0,0.0,0.0
0.0,0.0,74.418,0.0,0.0,0.0,0.0
0.0,0.0,74.619,0.0,0.0,0.0,0.0
